Name,Abbr Name,subcategory,Field,JIF5Years,Threshold
Obrabotka Metallov-Metal Working and Material Science,OBRAB METALLOV,METALLURGY & METALLURGICAL ENGINEERING,Materials Science,0.3,1.5
Psicodebate-Psicologia Cultura y Sociedad,PSICODEBATE-PSICOL C,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,0.5,1.0
Quaderns de Psicologia,QUAD PSICOL,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,0.4,1.0
Revista Cuidarte,REV CUID,NURSING,Medicine,0.6,1.0
Revista Economia,REV ECON-PERU,ECONOMICS,Mathematics,0.5,0.7
Revista Romana de Materiale-Romanian Journal of Materials,REV ROM MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,0.5,1.5
REVUE ECONOMIQUE,REV ECON-FR,ECONOMICS,Mathematics,0.4,0.7
South African Journal of Libraries and Information Science,S AFR J LIBR INF,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,0.6,0.8
TRIMESTRE ECONOMICO,TRIMEST ECON,ECONOMICS,Mathematics,0.5,0.7
Turkish Journal of Islamic Economics-TUJISE,TURK J ISLAMIC ECON,ECONOMICS,Mathematics,0.3,0.7
Vakuum in Forschung und Praxis,VAK FORSCH PRAX,"ENGINEERING, MECHANICAL",Engineering,0.2,1.5
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,VESTN TOMSK GOS U BI,ECOLOGY,Environmental Science,,0.5
Agrociencia Uruguay,AGROCIENCIA-URUGUAY,AGRONOMY,Biology,0.5,1.0
Ars Pharmaceutica,ARS PHARM,PHARMACOLOGY & PHARMACY,Medicine,0.5,1.0
Asian Journal of Pharmaceutics,ASIAN J PHARM,PHARMACOLOGY & PHARMACY,Medicine,0.5,1.0
Asian Journal of Water Environment and Pollution,ASIAN J WATER ENVIRO,ENVIRONMENTAL SCIENCES,Environmental Science,0.6,0.5
Cadernos Gestao Publica e Cidadania,CAD GEST PUBLICA CID,PUBLIC ADMINISTRATION,Mathematics,0.4,0.7
Chem-Bio Informatics Journal,CHEM-BIO INFORM J,BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology,0.4,1.0
Croatian Economic Survey,CROAT ECON SURV,ECONOMICS,Mathematics,0.4,0.7
Current Issues in Pharmacy and Medical Sciences,CURR ISS PHARM MED S,"MEDICINE, GENERAL & INTERNAL",Medicine,0.4,1.0
ELECTRICAL ENGINEERING IN JAPAN,ELECTR ENG JPN,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,0.4,1.5
Environnement Risques & Sante,ENVIRON RISQUE SANTE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,0.3,1.0
French-Ukrainian Journal of Chemistry,FRENCH,"CHEMISTRY, ANALYTICAL",Chemistry,0.3,1.5
Geosfernye Issledovaniya-Geosphere Research,GEOSFERNYE ISSLEDOV,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,,0.8
Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,GERIATR PSYCHOL NEUR,PSYCHOLOGY,Medicine,0.5,1.0
Global Journal of Medical Pharmaceutical and Biomedical Update,GLOB J MED PHARM BIO,"MEDICINE, GENERAL & INTERNAL",Medicine,0.4,1.0
International Journal of Autonomous and Adaptive Communications Systems,INT J AUTON ADAPT CO,TELECOMMUNICATIONS,Engineering,,1.5
International Journal of Computational Economics and Econometrics,INT J COMPUT ECON EC,ECONOMICS,Mathematics,0.8,0.7
International Journal of Innovation and Sustainable Development,INT J INNOV SUSTAIN,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,1.0,0.5
International Journal of Interdisciplinary Telecommunications and Networking,INT J INTERDISCIP TE,TELECOMMUNICATIONS,Engineering,0.6,1.5
International Review of Information Ethics,INT REV INF ETHICS,ETHICS,Mathematics,0.4,0.7
Journal of Financial Market Infrastructures,J FINANC MARK INFRAS,"BUSINESS, FINANCE",Mathematics,0.3,0.7
Journal of the Korean Magnetic Resonance Society,J KOREAN MAGN RESON,BIOCHEMICAL RESEARCH METHODS,Chemistry,0.2,1.5
Journal of the South African Institution of Civil Engineering,J S AFR INST CIV ENG,"ENGINEERING, CIVIL",Engineering,0.6,1.5
Malaysian Journal of Microbiology,MALAYS J MICROBIOL,MICROBIOLOGY,Biology,0.5,1.0
Market-Trziste,MARK-TRZ,BUSINESS,Mathematics,0.5,0.7
MAYDICA,MAYDICA,PLANT SCIENCES,Biology,0.6,1.0
Neurological Sciences and Neurophysiology,NEUROL SCI NEUROPHYS,NEUROSCIENCES,Biology,0.4,1.0
Neuropsychiatria i Neuropsychologia,NEUROPSYCH NEURO-POL,PSYCHIATRY,Medicine,0.4,1.0
OASIS-Observatorio de Analisis de los Sistemas Internacionales,OASIS-OBS ANAL SIST,INTERNATIONAL RELATIONS,Mathematics,0.3,0.7
Revista do Servico Publico,REV SERV PUBLICO,PUBLIC ADMINISTRATION,Mathematics,0.4,0.7
RUSSIAN METALLURGY,RUSS METALL+,METALLURGY & METALLURGICAL ENGINEERING,Materials Science,0.4,1.5
Turkish Journal of Neurology,TURK J NEUROL,CLINICAL NEUROLOGY,Medicine,0.4,1.0
Uchenye Zapiski Kazanskogo Universiteta-Seriya Estestvennye Nauki,UCHEN ZAP KAZ U-ESTE,MULTIDISCIPLINARY SCIENCES,Mathematics,0.3,0.7
COKE AND CHEMISTRY,COKE CHEM,"ENGINEERING, CHEMICAL",Engineering,0.4,1.5
Current Cancer Therapy Reviews,CURR CANCER THER REV,ONCOLOGY,Medicine,0.5,1.0
Gefasschirurgie,GEFASSCHIRURGIE,PERIPHERAL VASCULAR DISEASE,Medicine,0.4,1.0
Geodetski List,GEOD LIST,REMOTE SENSING,Engineering,0.4,1.5
INFECTIOUS DISEASES IN CLINICAL PRACTICE,INFECT DIS CLIN PRAC,INFECTIOUS DISEASES,Medicine,0.3,1.0
Ingenieria Solidaria,ING SOLIDAR,"ENGINEERING, MULTIDISCIPLINARY",Engineering,0.4,1.5
International Journal of Data Mining Modelling and Management,INT J DATA MIN MODEL,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science,0.4,0.8
IPSI BgD Transactions on Internet Research,IPSI BDG TRANS INTER,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science,0.2,0.8
Journal of Environmental Science and Management,J ENVIRON SCI MANAG,ENVIRONMENTAL SCIENCES,Environmental Science,0.6,0.5
Journal of Pharmacology & Pharmacotherapeutics,J PHARMACOL PHARMACO,PHARMACOLOGY & PHARMACY,Medicine,0.4,1.0
Journal of the Korean Geosynthetic Society,J KOREAN GEOSYNTH SO,"ENGINEERING, GEOLOGICAL",Engineering,0.3,1.5
Molecular Genetics Microbiology and Virology,MOL GENET MICROBIOL+,MICROBIOLOGY,Biology,0.4,1.0
Organisational and Social Dynamics,ORGAN SOC DYN,"PSYCHOLOGY, APPLIED",Medicine,0.3,1.0
Physioscience,PHYSOSCIENCE,REHABILITATION,Medicine,0.2,1.0
Ra-Revista de Arquitectura,RA-REV ARQUIT,ARCHITECTURE,Engineering,0.2,1.5
Revista Chilena de Infectologia,REV CHIL INFECTOL,INFECTIOUS DISEASES,Medicine,0.6,1.0
Revista de Geografia Norte Grande,REV GEOGR NORTE GD,"GEOGRAPHY, PHYSICAL",Geology,0.6,0.8
Revista de la Facultad de Derecho,REV FAC DERECHO,LAW,Mathematics,0.4,0.7
Revista de Salud Ambiental,REV SALUD AMBIENT,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,0.3,1.0
Revista Iberoamericana de Estudios Municipales,REV IBEROAM ESTUD MU,PUBLIC ADMINISTRATION,Mathematics,0.3,0.7
Revista Internacional de Contaminacion Ambiental,REV INT CONTAM AMBIE,ENVIRONMENTAL SCIENCES,Environmental Science,0.6,0.5
REVUE ROUMAINE DE CHIMIE,REV ROUM CHIM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,0.4,1.5
Rocznik Ochrona Srodowiska,ROCZ OCHR SR,ENVIRONMENTAL SCIENCES,Environmental Science,0.4,0.5
Sante Mentale au Quebec,SANTE MENT QUE,PSYCHIATRY,Medicine,0.3,1.0
Scripta Nova-Revista Electronica de Geografia y Ciencias Sociales,SCRIPTA NOVA,GEOGRAPHY,Environmental Science,0.5,0.5
Acta Angiologica,ACTA ANGIOL,PERIPHERAL VASCULAR DISEASE,Medicine,0.3,1.0
Acta Chemica Iasi,ACTA CHEM IASI,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,0.6,1.5
Applied Chemistry for Engineering,APPL CHEM ENG,"ENGINEERING, CHEMICAL",Engineering,0.4,1.5
Applied Radiology,APPL RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,0.4,1.0
Arterial Hypertension,ARTER HYPERTENS,PERIPHERAL VASCULAR DISEASE,Medicine,0.4,1.0
Chemistry for Sustainable Development,CHEM SUSTAIN DEV,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,0.3,1.5
China Nonprofit Review,CHINA NONPROFIT REV,PUBLIC ADMINISTRATION,Mathematics,0.3,0.7
Clio America,CLIO AM,BUSINESS,Mathematics,0.3,0.7
Desenvolvimento e Meio Ambiente,DESENVOLV MEIO AMBIE,ENVIRONMENTAL STUDIES,Environmental Science,0.5,0.5
Ecologia Aplicada,ECOL APL,ECOLOGY,Environmental Science,0.5,0.5
Ingenieria,INGENIERIA-BOGOTA,"ENGINEERING, MULTIDISCIPLINARY",Engineering,0.3,1.5
Jordan Journal of Chemistry,JORDAN J CHEM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,0.4,1.5
Journal of Power Technologies,J POWER TECHNOL,ENERGY & FUELS,Engineering,0.5,1.5
Opera-Colombia,OPERA-COLOMB,PUBLIC ADMINISTRATION,Mathematics,0.3,0.7
Revista Espanola de Nutricion Humana y Dietetica,REV ESP NUTR HUM DIE,NUTRITION & DIETETICS,Medicine,0.5,1.0
Revista General de Informacion y Documentacion,REV GEN INF DOC,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,0.8,0.8
Revista Ingenieria de Construccion,REV ING CONSTR,CONSTRUCTION & BUILDING TECHNOLOGY,Engineering,0.4,1.5
Revista Virtual de Quimica,REV VIRTUAL QUIM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,0.5,1.5
Science and Technology of Energetic Materials,SCI TECHNOL ENERG MA,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,0.4,1.5
Travail Genre et Societes,TRAV GENRE SOC,WOMENS STUDIES,Environmental Science,0.3,0.5
Activites-Revue Electronique,ACTIVITIES,ERGONOMICS,Engineering,0.6,1.5
Administracao-Ensino e Pesquisa,ADMINISTRACAO,MANAGEMENT,Mathematics,0.8,0.7
Archives des Maladies Professionnelles et de l Environnement,ARCH MAL PROF ENVIRO,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,0.4,1.0
Ensayos-Revista de la Facultad de Educacion de Albacete,ENSAYOS,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,0.6,0.7
Farmeconomia-Health Economics and Therapeutic Pathways,FARMECONOMIA,HEALTH CARE SCIENCES & SERVICES,Medicine,0.4,1.0
Functional Materials,FUNCT MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,0.4,1.5
International Journal of Affective Engineering,INT J AFFECT ENG,"ENGINEERING, INDUSTRIAL",Engineering,0.3,1.5
Journal of Nanoanalysis,J NANOANALYSIS,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,0.7,1.5
Journal of Print and Media Technology Research,J PRINT MEDIA TECHNO,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Engineering,0.3,1.5
LANGUE FRANCAISE,LANGUE FRANCAISE,LANGUAGE & LINGUISTICS,Computer Science,0.4,0.8
Nano Hybrids and Composites,NANO HYBRIDS COMPOS,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,0.7,1.5
POLITICA Y GOBIERNO,POLIT GOB,POLITICAL SCIENCE,Mathematics,0.6,0.7
Psicologia Clinica dello Sviluppo,PSICOL CLIN SVILUPP,"PSYCHOLOGY, DEVELOPMENTAL",Medicine,0.4,1.0
Revista Colombiana de Investigaciones Agroindustriales,REV COLOMB INVESTIG,"AGRICULTURE, MULTIDISCIPLINARY",Biology,0.2,1.0
Revista de Gestao Ambiental e Sustentabilidade-GeAS,REV GEST AMBIENT SUS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,0.3,0.5
AtoZ-Novas Praticas em Informacao e Conhecimento,ATOZ,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,0.3,0.8
Geofocus-Revista Internacional de Ciencia y TecnologIa de la InformaciOn GeogrAfica,GEOFOCUS-REV INT CIE,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,0.3,0.8
KGK-Kautschuk Gummi Kunststoffe,KGK-KAUT GUMMI KUNST,POLYMER SCIENCE,Materials Science,0.5,1.5
Suchttherapie,SUCHTTHERAPIE,PSYCHIATRY,Medicine,0.3,1.0
Turkic Languages,TURK LANG,LANGUAGE & LINGUISTICS,Computer Science,0.3,0.8
AMA-Agricultural Mechanization in Asia Africa and Latin America,AMA-AGR MECH ASIA AF,AGRICULTURAL ENGINEERING,Engineering,0.4,1.5
ATP Magazine,ATP MAG,AUTOMATION & CONTROL SYSTEMS,Engineering,0.3,1.5
Cuadernos de Vivienda y Urbanismo,CUAD VIVIENDA URBAN,URBAN STUDIES,Environmental Science,0.3,0.5
Current Research in Social Psychology,CURR RES SOC PSYCHOL,"PSYCHOLOGY, SOCIAL",Medicine,0.2,1.0
Memoria Investigaciones en Ingenieria,MEMORIA,"ENGINEERING, MULTIDISCIPLINARY",Engineering,0.4,1.5
Revista Empresa y Humanismo,REV EMPRES HUMANISMO,BUSINESS,Mathematics,0.5,0.7
SIGHT AND SOUND,SIGHT SOUND,"FILM, RADIO, TELEVISION",Computer Science,0.4,0.8
Encrucijadas-Revista Critica de Ciencias Sociales,ENCRUCIJADAS,SOCIAL ISSUES,Mathematics,0.3,0.7
Revista de Ciencias Humanas da Universidade de Taubate,REV CIENC HUM UNIV T,SOCIAL WORK,Medicine,0.2,1.0
Convivium,CONVIVIUM,PHILOSOPHY,Mathematics,0.2,0.7
PULP & PAPER-CANADA,PULP PAP-CANADA,"MATERIALS SCIENCE, PAPER & WOOD",Materials Science,0.2,1.5
Telematique,TELEMATIQUE,TELECOMMUNICATIONS,Engineering,0.1,1.5
Estudios Romanicos,ESTUD ROMANICOS,"LITERATURE, ROMANCE",Environmental Science,0.2,0.5
Cuadernos de Filologia Italiana,CUAD FILOL ITAL,"LITERATURE, ROMANCE",Environmental Science,0.2,0.5
Problemy Istoricheskoi Poetiki,PROBL ISTOR POET,LITERARY THEORY & CRITICISM,Environmental Science,0.3,0.5
MINNESOTA REVIEW,MINN REV,LITERARY REVIEWS,Environmental Science,0.5,0.5
Italian Studies,ITAL STUD,"LITERATURE, ROMANCE",Environmental Science,0.4,0.5
RUSSIAN LITERATURE,RUSS LITERATURE,"LITERATURE, SLAVIC",Environmental Science,0.3,0.5
JOURNAL OF LITERARY SEMANTICS,J LITERARY SEMANTICS,LITERATURE,Environmental Science,0.3,0.5
Asian Studies-Azijske Studije,ASIAN STUD-AZIJSKE S,ASIAN STUDIES,Environmental Science,0.4,0.5
JOURNAL OF ENGLISH AND GERMANIC PHILOLOGY,J ENGL GER PHILOL,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.4,0.5
EARLY AMERICAN LITERATURE,EARLY AM LITERATURE,"LITERATURE, AMERICAN",Environmental Science,0.5,0.5
JOURNAL OF MEDIEVAL HISTORY,J MEDIEVAL HIST,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.6,0.5
Cambridge Journal of Postcolonial Literary Inquiry,CAMB J POSTCOLONIAL,LITERATURE,Environmental Science,0.4,0.5
Itinerario-International Journal on the History of European Expansion and Global Interaction,ITINERARIO,HISTORY,Environmental Science,0.6,0.5
REVIEW OF ENGLISH STUDIES,REV ENGL STUD,LITERATURE,Environmental Science,0.4,0.5
Word and Text-A Journal of Literary Studies and Linguistics,WORD TEXT,LITERARY THEORY & CRITICISM,Environmental Science,0.4,0.5
Life Writing,LIFE WRIT,LITERATURE,Environmental Science,0.3,0.5
RESEARCH IN AFRICAN LITERATURES,RES AFR LITERATURES,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",Environmental Science,0.4,0.5
MEDIEVAL HISTORY JOURNAL,MEDIEV HIST J,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.4,0.5
Caliope-Journal of the Society for Renaissance and Baroque Hispanic Poetry,CALIOPE-US,POETRY,Environmental Science,,0.5
IRISH HISTORICAL STUDIES,IRISH HIST STUD,HISTORY,Environmental Science,0.5,0.5
International Research in Childrens Literature,INT RES CHILD LIT,LITERATURE,Environmental Science,0.4,0.5
ENGLISH STUDIES,ENGL STUD,LITERATURE,Environmental Science,0.4,0.5
Harold Pinter Review-Essays on Contemporary Drama,HAROLD PINTER REV,THEATER,Environmental Science,0.3,0.5
Literature Compass,LIT COMPASS,LITERATURE,Environmental Science,0.6,0.5
BMGN-The Low Countries Historical Review,BMGN,HISTORY,Environmental Science,0.4,0.5
THEATRE SURVEY,THEATRE SURVEY,THEATER,Environmental Science,0.4,0.5
Journal of Jesuit Studies,J JESUIT STUD,HISTORY,Environmental Science,0.4,0.5
Critical Survey,CRIT SURV,LITERARY THEORY & CRITICISM,Environmental Science,0.2,0.5
PROCEEDINGS OF THE ROYAL IRISH ACADEMY SECTION C-ARCHAEOLOGY CELTIC STUDIES HISTORY LINGUISTICS LITERATURE,P ROY IRISH ACAD C,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.6,0.5
Al-Masaq-Journal of the Medieval Mediterranean,AL-MASAQ,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.5,0.5
JOURNAL OF INTERDISCIPLINARY HISTORY,J INTERDISCIPL HIST,HISTORY,Environmental Science,1.0,0.5
Samuel Beckett Today/Aujourd'hui,SAMUEL BECKETT TODAY,THEATER,Environmental Science,,0.5
JOURNAL OF COMMONWEALTH LITERATURE,J COMMONW LIT,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",Environmental Science,0.3,0.5
SEVENTEENTH CENTURY,SEVENTEENTH CENT,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.3,0.5
PHILOSOPHY AND RHETORIC,PHILOS RHETORIC,PHILOSOPHY,Mathematics,0.5,0.7
REVISTA DE FILOLOGIA ESPANOLA,REV FILOL ESPAN,"LITERATURE, ROMANCE",Environmental Science,0.3,0.5
Rural History-Economy Society Culture,RURAL HIST,HISTORY,Environmental Science,0.4,0.5
Rusin,RUSIN,HISTORY,Environmental Science,0.2,0.5
MELUS,MELUS,"LITERATURE, AMERICAN",Environmental Science,0.4,0.5
Anatolian Studies,ANATOL STUD,HISTORY,Environmental Science,0.6,0.5
Leviathan-A Journal of Melville Studies,LEVIATHAN-J MELVILLE,"LITERATURE, AMERICAN",Environmental Science,0.2,0.5
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,INDIAN ECON SOC HIST,HISTORY,Environmental Science,0.7,0.5
Soviet and Post Soviet Review,SOV POST SOV REV,HISTORY,Environmental Science,0.5,0.5
ENGLISH STUDIES IN AFRICA,ENGL STUD AFR,LITERATURE,Environmental Science,0.3,0.5
Material Religion,MATER RELIG,RELIGION,Environmental Science,0.7,0.5
Art Design & Communication in Higher Education,ART DES COMMUN HIGH,ART,Mathematics,0.4,0.7
CONTEMPORARY THEATRE REVIEW,CONTEMP THEATRE REV,THEATER,Environmental Science,0.4,0.5
Atlantic Studies-Global Currents,ATL STUD-GLOB CURR,HISTORY,Environmental Science,0.4,0.5
Renaissance Studies,RENAISS STUD,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.5,0.5
HISTORY OF RELIGIONS,HIST RELIGIONS,RELIGION,Environmental Science,0.7,0.5
Comparative Literature-East & West,COMP LIT- E W,LITERATURE,Environmental Science,0.3,0.5
New Review of Film and Television Studies,NEW REV FILM TELEV S,"FILM, RADIO, TELEVISION",Computer Science,0.3,0.8
NOVEL-A FORUM ON FICTION,NOVEL-FORUM FICT,LITERATURE,Environmental Science,0.4,0.5
Open Philosophy,OPEN PHILOS,PHILOSOPHY,Mathematics,0.4,0.7
Studies in Theatre and Performance,STUD THEATR PERFORM,THEATER,Environmental Science,0.4,0.5
Recherches de Theologie et Philosophie Medievales,RECH THEOL PHILOS ME,RELIGION,Environmental Science,0.3,0.5
RIVAR-Revista Iberoamericana de Viticultura Agroindustria y Ruralidad,RIVAR-REV IBEROAM VI,HISTORY,Environmental Science,0.3,0.5
SUB-STANCE,SUB-STANCE,LITERATURE,Environmental Science,0.5,0.5
Classical Receptions Journal,CLASS RECEPT J,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.4,0.5
International Journal of the Classical Tradition,INT J CLASS TRADIT,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.3,0.5
NEW THEATRE QUARTERLY,NEW THEAT Q,THEATER,Environmental Science,0.2,0.5
Global Intellectual History,GLOB INTELLECT HIST,HISTORY,Environmental Science,,0.5
Philippine Studies-Historical and Ethnographic Viewpoints,PHILIP ST HIS ETH VI,HISTORY,Environmental Science,0.4,0.5
Contemporary Music Review,CONTEMP MUSIC REV,MUSIC,Physics,0.5,1.0
KronoScope-Journal for the Study of Time,KRONOSCOPE,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.3,0.5
Open Library of Humanities,OPEN LIBR HUMANIT,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.5,0.5
THEATRE RESEARCH INTERNATIONAL,THEATRE RES INT,THEATER,Environmental Science,0.2,0.5
Craft Research,CRAFT RES,ART,Mathematics,0.3,0.7
JOURNAL OF SEMITIC STUDIES,J SEMITIC STUD,ASIAN STUDIES,Environmental Science,0.3,0.5
CLCWEB-Comparative Literature and Culture,CLCWEB-COMP LIT CULT,LITERATURE,Environmental Science,0.3,0.5
Espana Medieval,ESP MEDIEV,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.3,0.5
Middle Eastern Literatures,MIDDLE EAST LIT,LITERATURE,Environmental Science,0.3,0.5
Modern & Contemporary France,MOD CONTEMP FR,HISTORY,Environmental Science,0.4,0.5
Grafica-Journal of Graphic Design,GRAFICA,ART,Mathematics,0.3,0.7
Configurations,CONFIGURATIONS,LITERATURE,Environmental Science,0.5,0.5
Hawwa,HAWWA,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.4,0.5
Irish Studies Review,IR STUD REV,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.2,0.5
KRITIKA-EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY,KRITIKA,HISTORY,Environmental Science,0.4,0.5
TIJDSCHRIFT VOOR NEDERLANDSE TAAL-EN LETTERKUNDE,TIJDSCHR NED TAAL L,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",Environmental Science,0.1,0.5
Anuario de Estudios Medievales,ANU ESTUD MEDIEV,MEDIEVAL & RENAISSANCE STUDIES,Environmental Science,0.4,0.5
Journal of Modern European History,J MOD EUR HIST,HISTORY,Environmental Science,0.5,0.5
JOURNAL OF THE ROYAL ASIATIC SOCIETY,J ROY ASIATIC SOC,ASIAN STUDIES,Environmental Science,0.5,0.5
Arts,ARTS,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.5,0.5
Korean Studies,KOREAN STUD,ASIAN STUDIES,Environmental Science,0.4,0.5
REVISTA DE INDIAS,REV INDIAS,HISTORY,Environmental Science,0.5,0.5
Grazer Philosophische Studien-International Journal for Analytic Philosophy,GRAZER PHILOS STUD,PHILOSOPHY,Mathematics,0.5,0.7
Open Theology,OPEN THEOL,RELIGION,Environmental Science,0.4,0.5
Islamic Law and Society,ISLAM LAW SOC,RELIGION,Environmental Science,0.8,0.5
European Journal of Media Art and Photography,EUR J MED PHOTOGR,ART,Mathematics,0.3,0.7
European Journal of Science and Theology,EUR J SCI THEOL,RELIGION,Environmental Science,0.3,0.5
International Journal of Islamic Architecture,INT J ISLAM ARCHIT,ARCHITECTURE,Engineering,0.3,1.5
Journal of Song-Yuan Studies,J SONG-YUAN STUD,HISTORY,Environmental Science,0.6,0.5
KOREA JOURNAL,KOREA J,ASIAN STUDIES,Environmental Science,0.4,0.5
Siberian Historical Research-Sibirskie Istoricheskie Issledovaniya,SIB HIST RES,HISTORY,Environmental Science,0.3,0.5
AFRICAN AMERICAN REVIEW,AFR AM REV,"LITERATURE, AMERICAN",Environmental Science,0.7,0.5
Central Europe,CENT EUR,HISTORY,Environmental Science,0.4,0.5
Romanticism,ROMANTICISM,LITERATURE,Environmental Science,0.2,0.5
South Asian Review,S ASIAN REV,LITERATURE,Environmental Science,,0.5
Journal of Contemporary Chinese Art,J CONTEMP CHIN ART,ART,Mathematics,0.3,0.7
SCOTTISH HISTORICAL REVIEW,SCOT HIST REV,HISTORY,Environmental Science,0.3,0.5
Asiatic-IIUM Journal of English Language and Literature,ASIATIC,LITERATURE,Environmental Science,0.2,0.5
BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES-UNIVERSITY OF LONDON,B SCH ORIENT AFR ST,ASIAN STUDIES,Environmental Science,0.6,0.5
AMERICAN JEWISH HISTORY,AM JEWISH HIST,HISTORY,Environmental Science,0.4,0.5
International Public History,INT PUBLIC HIST,HISTORY,Environmental Science,0.3,0.5
Journal of Africana Religions,J AFR RELIG,RELIGION,Environmental Science,0.4,0.5
SCREEN,SCREEN,"FILM, RADIO, TELEVISION",Computer Science,0.5,0.8
BIOGRAPHY-AN INTERDISCIPLINARY QUARTERLY,BIOGRAPHY,LITERATURE,Environmental Science,0.5,0.5
International Journal of Fashion Studies,INT J FASH STUD,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.5,0.5
JOURNAL OF CHURCH AND STATE,J CHURCH STATE,RELIGION,Environmental Science,0.4,0.5
Museum Worlds,MUS WORLDS,ART,Mathematics,0.5,0.7
CANADIAN HISTORICAL REVIEW,CAN HIST REV,HISTORY,Environmental Science,0.4,0.5
CHURCH HISTORY,CHURCH HIST,RELIGION,Environmental Science,0.2,0.5
Grey Room,GREY ROOM,"HUMANITIES, MULTIDISCIPLINARY",Environmental Science,0.7,0.5
INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,INT J AFR HIST STUD,HISTORY,Environmental Science,0.5,0.5
Austrian History Yearbook,AUSTRIAN HIST YEARB,HISTORY,Environmental Science,0.3,0.5
International Review of Pragmatics,INT REV PRAGMAT,LANGUAGE & LINGUISTICS,Computer Science,0.6,0.8
POLIS,POLIS-J SOC GREEK PO,CLASSICS,Environmental Science,0.5,0.5
Journal of World Christianity,J WORLD CHRISTIANITY,RELIGION,Environmental Science,0.3,0.5
Diplomacy & Statecraft,DIPL STATECRAFT,INTERNATIONAL RELATIONS,Mathematics,0.5,0.7
ETHNOHISTORY,ETHNOHISTORY,HISTORY,Environmental Science,0.6,0.5
Gender and History,GEND HIST,WOMENS STUDIES,Environmental Science,0.6,0.5
Documenta et Instrumenta,DOC INSTRUM,HISTORY,Environmental Science,0.1,0.5
JOURNAL OF BECKETT STUDIES,J BECKETT STUD,THEATER,Environmental Science,0.3,0.5
Political Theology,POLITICAL THEOL,RELIGION,Environmental Science,0.5,0.5
Bioscope-South Asian Screen Studies,BIOSCOPE,"FILM, RADIO, TELEVISION",Computer Science,0.6,0.8
