No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
238,AUTOMATIC DRIVER MODELING FOR INTEGRATION OF HUMAN-CONTROLLED VEHICLES INTO AN AUTONOMOUS VEHICLE NETWORK,"KOZLOSKI JAMES R [US] 
LYNAR TIMOTHY M [AU] 
VECCHIOLA CRISTIAN [AU]",IBM [US],"US2014195214A1 
US9576083B2",2013-01-10,"G06F17/50 
H04W4/70 
G06G7/48 
G08G1/01","G05D1/0088 (US) 
G06F30/15 (EP,US) 
G06F30/20 (EP,US) 
G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
H04W4/70 (EP,US) 
B60W2540/30 (EP,US) 
B60W2556/45 (EP) 
B60W2556/65 (EP) 
B60W2756/10 (EP,US)","2014-07-10 
2017-02-21",2014-07-10,51061658,,2014-07-10,2017-02-21,US2014195214A1,"
US9576083B2","['US', 'WO']","['US2014195213A1', 'US2014195214A1', 'US2017032067A1', 'US9361409B2', 'US9576083B2', 'WO2014109973A1']"
239,Sensors for Mapping Potential Turning Manuevers for Convoys of Autonomous Vehicles,"LACAZE ALBERTO DANIEL [US] 
MURPHY KARL NICHOLAS [US]","LACAZE ALBERTO DANIEL [US] 
MURPHY KARL NICHOLAS [US]",US2020319639A1,2019-04-08,"G05D1/00 
G05D1/02","B60W30/165 (EP) 
G05D1/0088 (US) 
G05D1/0231 (US) 
G05D1/0255 (US) 
G05D1/0293 (EP,US)",2020-10-08,2020-10-08,72663097,,2020-10-08,,US2020319639A1,,,
240,METHOD AND SYSTEM FOR PROMPTING AN EVASIVE MANEUVER OF AUTONOMOUS OR SEMI-AUTONOMOUS VEHICLES,EWERT MARLON RAMON [DE],BOSCH GMBH ROBERT [DE],"US12252147B2 
US2020239019A1",2017-11-06,"B60W50/029 
B60W50/14 
G07C5/00 
G07C5/08 
H04B17/318 
H04W4/46","B60W30/0956 (EP) 
B60W50/029 (EP,US) 
B60W50/14 (US) 
G07C5/008 (US) 
G07C5/0816 (US) 
H04B17/318 (US) 
H04W4/46 (US) 
B60W2050/0292 (EP,US) 
B60W2520/10 (EP) 
B60W2554/80 (EP) 
B60W2554/802 (US) 
B60W2554/804 (US) 
B60W2556/65 (EP)","2020-07-30 
2025-03-18",2019-05-09,64172504,,2020-07-30,2025-03-18,US12252147B2,"
US2020239019A1","['CN', 'DE', 'JP', 'US', 'WO']","['CN111315626A', 'DE102017219599A1', 'JP2021501719A', 'US12252147B2', 'US2020239019A1', 'WO2019086689A1']"
241,System for guiding autonomous vehicles by a photovoltaic offset sensor,"FERREIRO GARCIA RAMON [ES] 
VIDAL PAZ JOSE [ES]",UNIV DE A CORUNA [ES],"ES2134730A1 
ES2134730B1",1997-07-22,"G05D1/03 
G05D1/03",,"1999-10-01 
2000-05-16",1999-10-01,8300226,,1999-10-01,2000-05-16,ES2134730A1,"
ES2134730B1",,
242,ONLINE PERCEPTION PERFORMANCE EVALUATION FOR AUTONOMOUS AND SEMI-AUTONOMOUS VEHICLES,"GYLLENHAMMAR MAGNUS [SE] 
ZANDÉN CARL [SE] 
KHORSAND VAKILZADEH MAJID [SE] 
FALKOVÉN ANDREAS [SE]",ZENUITY AB [SE],US2021354708A1,2020-05-15,"B60W40/02 
B60W50/04 
G06K9/00 
H04W4/46","B60W40/02 (US) 
B60W50/04 (US) 
G01S13/931 (EP,US) 
G01S17/86 (EP) 
G01S17/87 (EP) 
G01S17/931 (EP) 
G01S7/003 (EP) 
G01S7/2955 (EP) 
G01S7/40 (EP) 
G01S7/41 (EP) 
G01S7/4802 (EP) 
G01S7/497 (EP) 
G06F18/22 (CN) 
G06F18/25 (CN) 
G06Q10/0639 (CN) 
G06V20/56 (US) 
H04W4/46 (US) 
B60W2554/404 (US) 
B60W2556/65 (US) 
G01S13/862 (EP) 
G01S13/865 (EP) 
G01S13/867 (EP) 
G01S13/87 (EP) 
G01S15/86 (EP) 
G01S15/87 (EP) 
G01S15/931 (EP) 
G01S2013/9316 (EP) 
G01S2013/9323 (EP) 
G01S2013/9324 (EP) 
G01S7/52004 (EP) 
G01S7/539 (EP)",2021-11-18,2021-11-17,70738343,,2021-11-18,,US2021354708A1,,"['CN', 'EP', 'US']","['CN113743709A', 'EP3910366A1', 'US2021354708A1']"
243,METHODS AND SYSTEMS FOR DETECTING ANOMALIES AND FORECASTING OPTIMIZATIONS TO IMPROVE URBAN LIVING MANAGEMENT USING NETWORKS OF AUTONOMOUS VEHICLES,RAMALHO DE OLIVEIRA PATRICIA CRISTINA [PT],VENIAM INC [US],"US11889393B2 
US2018376306A1",2017-06-23,"H04L29/08 
G08G1/0967 
H04W4/44 
H04W76/15 
H04W88/10 
G08G1/01 
H04L67/12 
H04W4/00","G08G1/0112 (EP,US) 
G08G1/0967 (EP,US) 
H04L67/12 (EP,US) 
H04W4/44 (EP,US) 
H04W76/15 (US) 
H04W88/10 (US)","2018-12-27 
2024-01-30",2018-12-27,64692886,,2018-12-27,2024-01-30,US11889393B2,"
US2018376306A1",['US'],"['US11889393B2', 'US2018376306A1']"
244,METHOD AND SYSTEM TO PREDICT VEHICLE TRAFFIC BEHAVIOR FOR AUTONOMOUS VEHICLES TO MAKE DRIVING DECISIONS,"LI LIYUN [US] 
MIAO JINGHAO [US] 
FANG SHIYUAN [US] 
YANG I-HSUAN [US] 
WANG JINGAO [US]",BAIDU USA LLC [US],"US10394245B2 
US2018143644A1",2016-11-22,"G05D1/02 
B60W30/095 
B60W50/00 
G05D1/00 
G06K9/00","B60K35/28 (EP) 
B60W30/095 (EP,US) 
B60W30/18154 (EP) 
B60W50/0097 (EP,US) 
B60W60/00276 (US) 
G05D1/0214 (CN) 
G06V20/56 (EP,US) 
G06V40/10 (US) 
G06V40/107 (EP,US) 
G06V40/20 (US) 
B60K2360/175 (EP,US) 
B60K35/28 (US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
B60W2554/00 (EP,US) 
B60W2554/20 (US) 
B60W2554/4026 (US) 
B60W2554/4029 (US) 
B60W2554/4042 (US) 
B60W2554/4044 (US) 
B60W2554/80 (US) 
B60W2556/65 (EP,US) 
B60Y2300/08 (EP,US)","2018-05-24 
2019-08-27",2018-05-23,59683444,,2018-05-24,2019-08-27,US10394245B2,"
US2018143644A1",,
245,UNSUPERVISED ANOMALY DETECTION FOR AUTONOMOUS VEHICLES,"SINDHWANI VIKAS [US] 
SIDAHMED HAKIM [US] 
CHOROMANSKI KRZYSZTOF [US] 
JONES BRANDON L [US]",WING AVIATION LLC [US],"US11823562B2 
US2021082292A1",2019-09-13,"B64C39/02 
B64F5/60 
G05D1/00 
G05D1/10 
G08G5/00","B64F5/60 (US) 
B64U10/25 (EP,US) 
B64U50/13 (EP,US) 
G05D1/0011 (US) 
G05D1/0055 (EP,US) 
G05D1/105 (US) 
G06F11/0736 (EP) 
G06F11/0751 (EP) 
G06F11/0772 (EP) 
G06F11/079 (EP) 
G06F11/3013 (EP) 
G06F11/3447 (EP) 
G06N20/00 (EP) 
G08G5/21 (EP) 
G08G5/53 (EP) 
G08G5/55 (EP,US) 
G08G5/57 (US) 
G08G5/58 (US) 
B64U2201/20 (US) 
G06F2201/81 (EP) 
G07C5/0808 (EP) 
G08G5/57 (EP) 
G08G5/58 (EP)","2021-03-18 
2023-11-21",2021-03-18,74866008,,2021-03-18,2023-11-21,US11823562B2,"
US2021082292A1","['AU', 'CN', 'EP', 'US', 'WO']","['AU2020344464A1', 'AU2020344464B2', 'AU2024200630A1', 'CN114365091A', 'EP3980335A1', 'EP3980335A4', 'US11823562B2', 'US2021082292A1', 'US2024071236A1', 'WO2021050177A1']"
246,AUTONOMOUS DRIVING SYSTEM USING DRCING INFORMATION OF NEARYBY VEHICLES,JUNG HYEON SEOK [KR],JUNG HYEON SEOK [KR],KR20230171225A,2022-06-13,"B60W40/02 
B60W40/105 
B60W50/00 
B60W60/00","B60W40/02 (KR) 
B60W40/105 (KR) 
B60W60/0016 (KR) 
B60W2050/0064 (KR) 
B60W2420/403 (KR) 
B60W2420/408 (KR) 
B60W2520/06 (KR) 
B60W2520/10 (KR) 
B60W2554/4042 (KR)",2023-12-20,2023-12-20,89377071,,2023-12-20,,KR20230171225A,,['KR'],['KR20230171225A']
247,METHODS AND SYSTEMS FOR DETECTING ANOMALIES AND FORECASTING OPTIMIZATIONS TO IMPROVE SMART CITY OR REGION INFRASTRUCTURE MANAGEMENT USING NETWORKS OF AUTONOMOUS VEHICLES,RAMALHO DE OLIVEIRA PATRICIA CRISTINA [PT],VENIAM INC [US],"US10595175B2 
US2018376305A1",2017-06-23,"G08G1/0967 
H04L29/08 
H04W4/44 
H04W4/46 
G08G1/01 
G08G1/09 
G05D1/00","G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/0133 (EP,US) 
G08G1/0145 (EP,US) 
G08G1/096775 (US) 
G08G1/096783 (US) 
H04L67/12 (EP,US) 
H04W4/44 (EP,US) 
H04W4/46 (EP,US) 
G05D1/0088 (US)","2018-12-27 
2020-03-17",2018-12-27,64692885,,2018-12-27,2020-03-17,US10595175B2,"
US2018376305A1",,
248,AUTONOMOUS MANAGEMENT OF WIRELESS CONNECTIVITY OF PRIORITY RESPONSE VEHICLES,"MUTANGANA JEAN DE DIEU [US] 
BAHRAMI MOHSEN [US] 
ASADI HAMED [US] 
HEATON JAMES WILHELM [US]",FORD GLOBAL TECH LLC [US],"US12235116B2 
US2024077319A1",2022-09-01,"G01C21/34 
H04W76/50 
H04W72/56","G01C21/3453 (US) 
H04W24/02 (EP,CN) 
H04W4/029 (CN) 
H04W4/40 (CN) 
H04W72/56 (US) 
H04W76/50 (EP,US)","2024-03-07 
2025-02-25",2024-03-07,89905451,,2024-03-07,2025-02-25,US12235116B2,"
US2024077319A1","['CN', 'DE', 'US']","['CN117676470A', 'DE102023123115A1', 'US12235116B2', 'US2024077319A1']"
249,Accident fault determination for autonomous vehicles,"KONRARDY BLAKE [US] 
CHRISTENSEN SCOTT T [US] 
HAYWARD GREGORY [US] 
FARRIS SCOTT [US]",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO [US],US9805423B1,2014-05-20,"G06Q40/08 
H04W4/44 
H04W4/90 
H04W4/46","B60Q9/00 (EP,US) 
B60R21/00 (US) 
B60W30/16 (US) 
B60W40/09 (US) 
G01S19/48 (EP) 
G05B15/02 (US) 
G06F30/20 (US) 
G06Q10/0635 (EP,US) 
G06Q20/0855 (US) 
G06Q40/04 (US) 
G06Q40/08 (EP,US) 
G06V20/597 (EP,US) 
G07C5/008 (EP,US) 
G07C5/08 (US) 
G07C5/0808 (US) 
G07C5/0816 (EP,US) 
G08B21/06 (EP,US) 
G08B25/08 (EP,US) 
G08G1/005 (EP,US) 
G08G1/096725 (EP,US) 
G08G1/096741 (EP,US) 
G08G1/09675 (EP,US) 
G08G1/096758 (EP,US) 
G08G1/096775 (EP,US) 
G08G1/096783 (EP,US) 
G08G1/096791 (EP,US) 
G08G1/143 (EP,US) 
G08G1/147 (EP,US) 
G08G1/164 (EP,US) 
G08G1/165 (EP,US) 
G08G1/166 (EP,US) 
G08G1/167 (EP,US) 
G08G1/205 (EP,US) 
H04L67/12 (EP,US) 
H04W4/44 (EP,US) 
H04W4/90 (EP,US) 
B60Q11/005 (EP) 
B60R2021/0027 (US) 
B60W2040/0818 (US) 
B60W2050/0095 (US) 
B60W2050/0096 (US) 
G01S13/931 (EP) 
G01S15/931 (EP) 
G01S17/931 (EP) 
G01S19/13 (US) 
G01S2013/9318 (EP) 
G06F30/15 (EP) 
G06F30/20 (EP) 
G06Q50/40 (EP,US) 
G07C5/085 (EP,US) 
H04W4/46 (US)",2017-10-31,2017-05-09,58643510,,2017-10-31,,US9805423B1,,['US'],"['US10026130B1', 'US10043323B1', 'US10055794B1', 'US10089693B1', 'US10181161B1', 'US10185997B1', 'US10185998B1', 'US10185999B1', 'US10223479B1', 'US10319039B1', 'US10354330B1', 'US10373259B1', 'US10373265B1', 'US10467704B1', 'US10504306B1', 'US10510123B1', 'US10529027B1', 'US10599155B1', 'US10685403B1', 'US10719885B1', 'US10719886B1', 'US10726498B1', 'US10726499B1', 'US10748218B2', 'US10963969B1', 'US10977741B2', 'US11010840B1', 'US11023629B1', 'US11062395B1', 'US11062396B1', 'US11062399B1', 'US11080794B2', 'US11100591B1', 'US11127083B1', 'US11127086B2', 'US11238538B1', 'US11282143B1', 'US11288751B1', 'US11348182B1', 'US11386501B1', 'US11436685B1', 'US11580604B1', 'US11669090B2', 'US11710188B2', 'US11869092B2', 'US12140959B2', 'US12259726B2', 'US2018075538A1', 'US2020302545A1', 'US2020302546A1', 'US2020302547A1', 'US2020302548A1', 'US2021049705A1', 'US2021133871A1', 'US2022005291A1', 'US2022164896A1', 'US2022180448A1', 'US2022244736A1', 'US2022391992A1', 'US2023143946A1', 'US2023251657A1', 'US2023334585A1', 'US2024127362A1', 'US2025036123A1', 'US9646428B1', 'US9715711B1', 'US9754325B1', 'US9767516B1', 'US9792656B1', 'US9805423B1', 'US9852475B1', 'US9858621B1', 'US9972054B1']"
250,Assessing Ride Quality For Autonomous Vehicles,"SUCAN IOAN-ALEXANDRU [US] 
DA FANG [US] 
SURYANARAYAN POONAM [US] 
FAIRFIELD NATHANIEL [US] 
SUEMATSU YUTAKA LEON [US] 
BAROR OMER [US] 
LEONG JIAN [US] 
EPSTEIN MICHAEL [US]",WAYMO LLC [US],"US11657318B2 
US2020125989A1",2018-10-19,"B60W50/00 
G05D1/02 
G06N20/00","B60W40/09 (EP) 
B60W50/0098 (US) 
B60W60/00253 (EP) 
G05D1/0276 (US) 
G06N20/00 (US) 
G06Q30/0278 (EP) 
B60W2540/215 (EP) 
G06N3/044 (EP) 
G06N3/045 (EP) 
G06N3/08 (EP) 
G08G1/202 (EP)","2020-04-23 
2023-05-23",2020-04-23,70281010,,2020-04-23,2023-05-23,US11657318B2,"
US2020125989A1","['CN', 'EP', 'US', 'WO']","['CN112955362A', 'EP3849867A1', 'EP3849867A4', 'US11657318B2', 'US2020125989A1', 'WO2020081287A1']"
251,AUTONOMOUS VEHICLE SYSTEM,"KLINE ERIC V [US] 
RAKSHIT SARBAJIT K [IN]",IBM [US],"US10899364B2 
US2020001890A1",2018-07-02,"B60W50/00 
B60W50/10 
B60W50/14 
G01C21/36 
G06T11/60","B60W50/00 (US) 
B60W50/10 (US) 
B60W50/14 (US) 
G01C21/3626 (US) 
G06T11/00 (EP) 
G06T11/60 (US) 
G08G1/0145 (EP) 
G08G1/091 (EP) 
G08G1/096725 (EP) 
G08G1/096775 (EP) 
G08G1/164 (EP) 
B60W2050/0063 (US) 
B60W2050/146 (US) 
B60W2540/21 (US) 
G02B2027/0178 (EP)","2020-01-02 
2021-01-26",2020-01-02,69007904,,2020-01-02,2021-01-26,US10899364B2,"
US2020001890A1",['US'],"['US10899364B2', 'US2020001890A1']"
252,SYSTEM AND METHOD FOR AUTOMATED DETECTION AND DISINFECTION OF A FLEET OF AUTONOMOUS VEHICLES,"GLIDDEN SAMUEL HARRISON [US] 
NIELSEN ERIK [US] 
KANNAN SRIRAM SALEM [US] 
FERGUSON KENNETH [US] 
EUCHENHOFER MAXIMILIAN GERRIT [US] 
SCHMIDT MICHAEL FRANK [US] 
FERGUSON KENNETH RAMON [US]",GM CRUISE HOLDINGS LLC [US],"US12194187B2 
US2023398253A1",2020-08-12,"A61L2/00 
A61L2/18 
A61L2/22 
A61L2/24 
G01C21/34","A61L2/0023 (US) 
A61L2/0047 (US) 
A61L2/04 (EP) 
A61L2/10 (EP) 
A61L2/18 (EP,US) 
A61L2/22 (EP,US) 
A61L2/24 (EP,US) 
G01C21/3407 (US) 
A61L2202/11 (US) 
A61L2202/14 (EP,US) 
A61L2202/15 (US) 
A61L2202/25 (EP,US)","2023-12-14 
2025-01-14",2023-10-03,88195896,,2023-12-14,2025-01-14,US12194187B2,"
US2023398253A1",,
253,DYNAMIC PLATOON FORMATION METHOD UNDER MIXED AUTONOMOUS VEHICLES FLOW,"QI HONGSHENG [CN] 
YING YUYAN [CN]",UNIV ZHEJIANG [CN],"US11568751B2 
US2022351625A1",2021-04-14,"B60W30/18 
B60W40/06 
B60W60/00 
G08G1/00 
G08G1/052","B60W30/165 (EP) 
B60W30/18163 (EP,US) 
B60W40/06 (US) 
B60W60/0027 (EP,US) 
G08G1/052 (US) 
G08G1/167 (EP) 
G08G1/20 (US) 
G08G1/22 (EP,US) 
B60W2520/10 (EP,US) 
B60W2554/4042 (EP,US)","2022-11-03 
2023-01-31",2022-11-03,83808647,,2022-11-03,2023-01-31,US11568751B2,"
US2022351625A1",['US'],"['US11568751B2', 'US2022351625A1']"
254,Integration Platform for Autonomous Vehicles,"WAY MATTHEW JAMES [US] 
HAGESTAD LEIGH GRAY [US] 
IASYNETSKYI ANDRII [US] 
YEN MARK [US] 
GOLDMAN BRENT JUSTIN [US]",UATC LLC [US],"US10761527B2 
US2020033847A1",2018-07-27,"G05D1/00 
G07C5/00 
H04W4/44 
G08G1/00","G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G06Q10/0835 (EP) 
G07C5/008 (EP,US) 
G07C5/0825 (EP) 
H04W4/44 (EP,US)","2020-01-30 
2020-09-01",2020-01-30,69179182,,2020-01-30,2020-09-01,US10761527B2,"
US2020033847A1","['EP', 'US', 'WO']","['EP3830775A1', 'US10761527B2', 'US2020033847A1', 'WO2020023877A1']"
255,Target searching method and system for multiple autonomous underwater vehicles,"JIANG YU 
YU HUIYONG 
SONG JIANJUN 
QI HONG 
ZHAO MINGHAO 
WANG YUEHANG 
WANG GUANGCHENG",UNIV JILIN,"CN115809609A 
CN115809609B",2023-02-06,"G06F30/27 
G06N3/0464 
G06N3/092",Y02T10/40 (EP),"2023-03-17 
2023-05-23",2023-03-17,85487510,,2023-03-17,2023-05-23,CN115809609A,"
CN115809609B",['CN'],"['CN115809609A', 'CN115809609B']"
256,High-Value Test Generation For Autonomous Vehicles,"AHNER WARREN [US] 
MULLEN JONATHAN THOMAS [US]",RIGHTHOOK INC [US],US2019271614A1,2018-03-01,"B60R21/02 
B60W30/095 
G01M17/00 
G05D1/00 
G06F17/50 
G07C5/08","B60R21/02 (US) 
B60W30/095 (US) 
G01M17/00 (US) 
G05D1/0088 (US) 
G06F30/15 (EP) 
G06F30/20 (EP,US) 
G07C5/0841 (US) 
B60R2021/0065 (US) 
B60W2050/0018 (EP)",2019-09-05,2019-09-05,67767634,,2019-09-05,,US2019271614A1,,['US'],['US2019271614A1']
257,MULTI-LANE TRAFFIC MANAGEMENT SYSTEM FOR PLATOONS OF AUTONOMOUS VEHICLES,SCHLUETER GEORG [US],SCHLUETER GEORG [US],US2023351897A1,2022-04-27,"B60W30/165 
G05D1/02 
G08G1/00 
G08G1/16","B60W30/165 (EP,US) 
G05D1/0293 (US) 
G08G1/0145 (EP) 
G08G1/166 (EP,US) 
G08G1/167 (EP,US) 
G08G1/22 (EP,US)",2023-11-02,2023-11-02,88512500,,2023-11-02,,US2023351897A1,,['US'],['US2023351897A1']
258,TELEOPERATION SYSTEM AND METHOD FOR TRAJECTORY MODIFICATION OF AUTONOMOUS VEHICLES,"LEVINSON JESSE SOL [US] 
REGE ASHUTOSH GAJANAN [US] 
GAMARA RACHAD YOUSSEF [US] 
SIBLEY GABRIEL THURSTON [US] 
KENTLEY-KLAY TIMOTHY DAVID [US] 
LINSCOTT GARY [US]",ZOOX INC [US],"US10401852B2 
US2018136651A1",2015-11-04,"G05D1/00 
B60W30/00 
G05D1/02 
G08G1/00 
G06T11/20","B60W30/00 (US) 
G01S17/87 (EP) 
G01S17/931 (EP) 
G05D1/0027 (EP,US) 
G05D1/0044 (EP,US) 
G08G1/202 (EP,US) 
G01S13/865 (EP) 
G01S13/867 (EP) 
G01S13/87 (EP) 
G01S2013/9316 (EP) 
G01S2013/9322 (EP) 
G01S7/4972 (EP) 
G06T11/20 (US)","2018-05-17 
2019-09-03",2018-05-17,62107826,,2018-05-17,2019-09-03,US10401852B2,"
US2018136651A1","['CN', 'EP', 'JP', 'US', 'WO']","['CN108290503A', 'CN108290503B', 'CN108290540A', 'CN108290540B', 'CN108290579A', 'CN108290579B', 'CN108292134A', 'CN108292134B', 'CN108292356A', 'CN108292356B', 'CN108292472A', 'CN108292472B', 'CN108292473A', 'CN108292473B', 'CN108292474A', 'CN108292474B', 'CN108369775A', 'CN108369775B', 'CN108475406A', 'CN108475406B', 'CN108700876A', 'CN108700876B', 'CN113721629A', 'CN113721629B', 'CN113963549A', 'CN114228497A', 'CN114643995A', 'CN114801972A', 'CN114822008A', 'CN114822008B', 'CN115113629A', 'CN118154398A', 'CN118192555A', 'CN118197035A', 'EP3370999A1', 'EP3370999B1', 'EP3371010A2', 'EP3371010B1', 'EP3371023A1', 'EP3371023A4', 'EP3371660A2', 'EP3371660A4', 'EP3371668A1', 'EP3371668B1', 'EP3371740A1', 'EP3371772A1', 'EP3371772A4', 'EP3371794A2', 'EP3371794A4', 'EP3371795A1', 'EP3371795A4', 'EP3371795B1', 'EP3371796A2', 'EP3371796A4', 'EP3371797A2', 'EP3371797A4', 'EP3371797B1', 'EP4180893A1', 'EP4404015A2', 'EP4404015A3', 'EP4521182A2', 'JP2018535892A', 'JP2018536955A', 'JP2018538647A', 'JP2019500711A', 'JP2019501072A', 'JP2019501468A', 'JP2019501606A', 'JP2019502214A', 'JP2019504800A', 'JP2019505059A', 'JP2019506126A', 'JP2022009142A', 'JP2022046646A', 'JP2022065083A', 'JP2022113694A', 'JP2022119791A', 'JP2022137160A', 'JP2023055751A', 'JP2024105474A', 'JP6910364B2', 'JP6943867B2', 'JP6962926B2', 'JP7036732B2', 'JP7049996B2', 'JP7071271B2', 'JP7103946B2', 'JP7195143B2', 'JP7316789B2', 'JP7330259B2', 'JP7381539B2', 'JP7458704B2', 'JP7504155B2', 'JP7568754B2', 'US10000124B2', 'US10048683B2', 'US10248119B2', 'US10259514B2', 'US10303174B2', 'US10334050B2', 'US10385579B2', 'US10401852B2', 'US10409284B2', 'US10446037B2', 'US10496766B2', 'US10543838B2', 'US10591910B2', 'US10712750B2', 'US10745003B2', 'US10832502B2', 'US10921811B2', 'US10934731B2', 'US11022974B2', 'US11061398B2', 'US11067983B2', 'US11091092B2', 'US11099574B2', 'US11106218B2', 'US11167812B2', 'US11283877B2', 'US11301767B2', 'US11314249B2', 'US11500378B2', 'US11500388B2', 'US11796998B2', 'US11946280B2', 'US12265386B2', 'US2015167336A1', 'US2017120753A1', 'US2017120803A1', 'US2017120804A1', 'US2017120814A1', 'US2017120902A1', 'US2017120904A1', 'US2017123419A1', 'US2017123421A1', 'US2017123422A1', 'US2017123428A1', 'US2017123429A1', 'US2017124476A1', 'US2017124781A1', 'US2017126810A1', 'US2017132334A1', 'US2017132934A1', 'US2017248963A1', 'US2017248964A1', 'US2017297568A1', 'US2017316333A1', 'US2017351261A1', 'US2018033310A1', 'US2018134207A1', 'US2018134334A1', 'US2018136644A1', 'US2018136651A1', 'US2018136654A1', 'US2018154829A1', 'US2018157265A1', 'US2018190046A1', 'US2018196439A1', 'US2018281599A1', 'US2018329411A1', 'US2018356821A1', 'US2019225288A1', 'US2019227553A1', 'US2019250623A1', 'US2019360228A1', 'US2019361432A1', 'US2019361453A1', 'US2019387060A1', 'US2020004241A1', 'US2020074024A1', 'US2020371533A1', 'US2021148130A1', 'US2024028031A1', 'US2024191532A1', 'US9494940B1', 'US9507346B1', 'US9517767B1', 'US9606539B1', 'US9612123B1', 'US9630619B1', 'US9632502B1', 'US9701239B2', 'US9720415B2', 'US9734455B2', 'US9754490B2', 'US9802661B1', 'US9804599B2', 'US9878664B2', 'US9910441B2', 'US9916703B2', 'US9939817B1', 'US9958864B2', 'WO2017079219A1', 'WO2017079222A1', 'WO2017079228A2', 'WO2017079228A3', 'WO2017079229A1', 'WO2017079236A2', 'WO2017079236A3', 'WO2017079289A1', 'WO2017079290A1', 'WO2017079301A1', 'WO2017079304A1', 'WO2017079311A1', 'WO2017079321A1', 'WO2017079332A2', 'WO2017079332A3', 'WO2017079341A2', 'WO2017079341A3', 'WO2017079349A1', 'WO2017079349A8', 'WO2017079460A2', 'WO2017079460A3', 'WO2017079460A8', 'WO2017079474A2', 'WO2017079474A3']"
259,System and method for light-based guidance of autonomous vehicles,DELGADO EDGAR EMILIO MORALES [US],DELGADO EDGAR EMILIO MORALES [US],US2021303003A1,2020-03-27,"B64C39/02 
G05D1/00 
G05D1/04 
G05D1/08 
G05D1/10","B64D45/08 (EP) 
B64F1/18 (EP) 
B64F1/20 (US) 
B64U70/95 (EP,US) 
G01S1/7032 (EP) 
G01S5/163 (EP) 
G05D1/0676 (EP) 
G05D1/104 (EP) 
G08G5/21 (EP) 
G08G5/22 (EP) 
G08G5/54 (EP) 
G08G5/55 (EP,US) 
G08G5/57 (US) 
B64U2201/10 (EP,US) 
B64U2201/102 (EP) 
B64U2201/104 (EP) 
B64U2201/20 (US) 
G01S5/16 (EP) 
G08G5/52 (EP) 
G08G5/57 (EP)",2021-09-30,2021-09-30,77854539,,2021-09-30,,US2021303003A1,,['US'],['US2021303003A1']
260,SECURE COMMUNICATIONS WITH AUTONOMOUS VEHICLES,KONIARIS KLEANTHES G [US],"ARGO AL LLC [US] 
ARGO AI LLC [US]","US11770701B2 
US2022256339A1",2021-02-05,"B60R25/01 
B60W60/00 
H04W12/03 
H04W12/04 
H04W12/06 
H04W4/46","B60R25/01 (US) 
B60W60/001 (US) 
H04L63/0823 (EP) 
H04W12/03 (EP,US) 
H04W12/04 (US) 
H04W12/06 (EP,US) 
H04W4/46 (EP,US) 
H04L63/0869 (EP) 
H04W4/90 (EP)","2022-08-11 
2023-09-26",2022-08-11,82704256,,2022-08-11,2023-09-26,US11770701B2,"
US2022256339A1","['CN', 'EP', 'US', 'WO']","['CN116783881A', 'EP4289114A1', 'EP4289114A4', 'US11770701B2', 'US2022256339A1', 'WO2022170079A1']"
