,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
265,6,Zero-shot classification of TNM staging for Japanese radiology report using ChatGPT at RR-TNM subtask of NTCIR-17 MedNLP-SC,zjFHRA9yTbIJ,https://research.nii.ac.jp/ntcir/workshop/OnlineProceedings17/pdf/ntcir/04-NTCIR17-MEDNLP-NishioM.pdf,"M Nishio, H Matsuo, T Matsunaga, K Fujimoto… - NTCIR-17, 2023 - research.nii.ac.jp","… Figure 1 shows the schematic illustration of the process using ChatGPT and LangChain in this study. After the process shown in Figure 1, the output of our system was formatted as “| T:3,…",PDF,"{'cited_by': {'cites_id': '12848050721853485518', 'total': 6, 'link': 'https://scholar.google.com/scholar?cites=12848050721853485518&as_sdt=5,31&sciodt=0,31&hl=en&num=20'}, 'versions': {'cluster_id': '12848050721853485518', 'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=12848050721853485518&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:zjFHRA9yTbIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:zjFHRA9yTbIJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'nii.ac.jp', 'format': 'PDF', 'link': 'https://research.nii.ac.jp/ntcir/workshop/OnlineProceedings17/pdf/ntcir/04-NTCIR17-MEDNLP-NishioM.pdf'}","[{'name': 'M Nishio', 'id': 'Fv8mlyUAAAAJ', 'link': 'https://scholar.google.com/citations?user=Fv8mlyUAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'H Matsuo', 'id': 'vngBdNUAAAAJ', 'link': 'https://scholar.google.com/citations?user=vngBdNUAAAAJ&hl=en&num=20&oi=sra'}]"
266,7,Collaborative Multimodal Diagnostic: Fusion of Pathological Labels and Vision-Language Model,p8LPnw3XCO8J,https://ieeexplore.ieee.org/abstract/document/10396187/,"W Chen, Y Li, B Ou, P Tan - … on Health Big Data and Intelligent …, 2023 - ieeexplore.ieee.org","… • To address the aforementioned issue, with the support of the LangChain framework, we … To enhance the performance of the model within the LangChain framework in this paper …",,"{'cited_by': {'cites_id': '17224253228394201767', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=17224253228394201767&as_sdt=5,31&sciodt=0,31&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:p8LPnw3XCO8J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}",,
267,8,A Client-Server Based Educational Chatbot for Academic Institutions,WTEmSl1bJFMJ,https://ieeexplore.ieee.org/abstract/document/10627567/,"RP Richard, E Veemaraj, JM Thomas… - 2023 4th …, 2024 - ieeexplore.ieee.org","… At its core, LangChain simplifies the … , LangChain offers modular components serving as building blocks. One example of this is the Chain. Chains form the heart of LangChain's …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:WTEmSl1bJFMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}",,
268,9,Visualization-oriented Natural Language Interfaces for Grafana Dashboard,4R2cvWVp2rcJ,https://ieeexplore.ieee.org/abstract/document/10674281/,"BY Tong, TT Kuo, CY Lin - 2024 International Conference on …, 2024 - ieeexplore.ieee.org","… Additionally, concerning the limitations of LLMs in code generation, we aim to leverage the LangChain agent to develop a custom toolkit. The LangChain agent will enable language …",,"{'versions': {'cluster_id': '13248017139557473761', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=13248017139557473761&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:4R2cvWVp2rcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'github.io', 'format': 'PDF', 'link': 'https://sallylinlab.github.io/assets/pdf/publications/conference/Visualization-oriented_Natural_Language_Interfaces_for_Grafana_Dashboard.pdf'}","[{'name': 'CY Lin', 'id': 'S1hNsBEAAAAJ', 'link': 'https://scholar.google.com/citations?user=S1hNsBEAAAAJ&hl=en&num=20&oi=sra'}]"
269,10,FarmFriend: Your crop companion,l2prm2aPhCMJ,https://dc.ewu.edu/srcw_2024/op_2024/o6_2024/1/,R Bhatia - 2024 - dc.ewu.edu,"… Specifically, the framework that was used employs the Langchain library for text segmentation and the OpenAI Embeddings API for generating semantically rich vector embeddings of …",HTML,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:l2prm2aPhCMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:l2prm2aPhCMJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'ewu.edu', 'format': 'HTML', 'link': 'https://dc.ewu.edu/srcw_2024/op_2024/o6_2024/1/'}",
270,11,EpiGEN: An Efficient Multi-Api Code GENeration Framework under Enterprise Scenario,M-O9Cjam2oYJ,https://aclanthology.org/2024.lrec-main.548/,"S Li, S Li, H Zhang, S Li, K Chen, J Yuan… - Proceedings of the …, 2024 - aclanthology.org","… the full use of enterprise’s API documentation and then utilize LangChain (langchain ai, … Vector retrieval with LangChain LangChain is a framework designed to enhance application …",,"{'versions': {'cluster_id': '9717261897043927859', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=9717261897043927859&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:M-O9Cjam2oYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:M-O9Cjam2oYJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'aclanthology.org', 'format': 'PDF', 'link': 'https://aclanthology.org/2024.lrec-main.548.pdf'}",
271,12,Knowledge-Enhanced Large Language Model-Based Assistance Training System for Subway Maintenance Personnel,KeK2TxaA2FgJ,https://dl.acm.org/doi/abs/10.1145/3716895.3716900,"D Yang, H Wang, S Shao, S Liu - … of the 5th International Conference on …, 2024 - dl.acm.org","… , this study uses the chain module in the LangChain framework and the locally deployed fine-tuned … The extraction chain is then invoked to facilitate interaction between LangChain and …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:KeK2TxaA2FgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}",,
272,13,Comparative Study and Framework for Automated Summariser Evaluation: LangChain and Hybrid Algorithms,MXJcTb5Qx68J,https://ui.adsabs.harvard.edu/abs/2023arXiv231002759L/abstract,"B Lakshmi S, S Varshini R, R Mahadevan… - arXiv e …, 2023 - ui.adsabs.harvard.edu",Automated Essay Score (AES) is proven to be one of the cutting-edge technologies. Scoring techniques are used for various purposes. Reliable scores are calculated based on …,,"{'cited_by': {'cites_id': '12666181255274721841', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=12666181255274721841&as_sdt=5,31&sciodt=0,31&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:MXJcTb5Qx68J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}",,"[{'name': 'B Lakshmi S', 'id': 'eZRpnCIAAAAJ', 'link': 'https://scholar.google.com/citations?user=eZRpnCIAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Varshini R', 'id': 'kGH2vMIAAAAJ', 'link': 'https://scholar.google.com/citations?user=kGH2vMIAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'R Mahadevan', 'id': 'W6hBDwMAAAAJ', 'link': 'https://scholar.google.com/citations?user=W6hBDwMAAAAJ&hl=en&num=20&oi=sra'}]"
273,14,HuixiangDou: Overcoming Group Chat Scenarios with LLM-based Technical Assistance,YnphSOUivjIJ,https://arxiv.org/abs/2401.08772,"H Kong, S Zhang, J Li, M Xiao, J Xu, K Chen - arXiv preprint arXiv …, 2024 - arxiv.org","In this work, we present HuixiangDou, a technical assistant powered by Large Language Models (LLM). This system is designed to assist algorithm developers by providing insightful …",,"{'cited_by': {'cites_id': '3656398315628624482', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=3656398315628624482&as_sdt=5,31&sciodt=0,31&hl=en&num=20'}, 'versions': {'cluster_id': '3656398315628624482', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=3656398315628624482&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:YnphSOUivjIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:YnphSOUivjIJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2401.08772'}","[{'name': 'H Kong', 'id': 'NeXg-g4AAAAJ', 'link': 'https://scholar.google.com/citations?user=NeXg-g4AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Zhang', 'id': '8XQPi7YAAAAJ', 'link': 'https://scholar.google.com/citations?user=8XQPi7YAAAAJ&hl=en&num=20&oi=sra'}]"
274,15,ARTIFICIAL INTELLIGENCE TOOLS: A PRACTICE REPORT FROM THE INTERNATIONAL CENTER FOR SOFTWARE TECHNOLOGY,B1xdgg5mIB4J,https://ojs.revistacontemporanea.com/ojs/index.php/home/article/view/6973,"B de Oliveira Maciel… - Revista …, 2024 - ojs.revistacontemporanea.com","… LangChain: An open-source framework designed to simplify the development of … Distinct from conventional API calls, LangChain performs sophisticated operations and acts as an …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:B1xdgg5mIB4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:B1xdgg5mIB4J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'revistacontemporanea.com', 'format': 'PDF', 'link': 'https://ojs.revistacontemporanea.com/ojs/index.php/home/article/download/6973/4977'}","[{'name': 'B de Oliveira Maciel', 'id': 'khr6ru0AAAAJ', 'link': 'https://scholar.google.com/citations?user=khr6ru0AAAAJ&hl=en&num=20&oi=sra'}]"
275,16,BankBot: Streamlined Banking Support Through Centralized FAQs,_5RMprT9k8AJ,https://drafts.icpids.com/pdfs/ICPIDS2024-1HzVgPgxdlBrv8gckLTbgg/346900a138/346900a138.pdf,"RV Kulkarni, A Paldewar, S Paliwal, A Palwe… - drafts.icpids.com","… We used Langchain for the creation of the required RAG model, RAGAS (Retrieval-Augmented Generation Assessment Suite) from LangSmith is used to evaluate the model’s …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:_5RMprT9k8AJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:_5RMprT9k8AJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'icpids.com', 'format': 'PDF', 'link': 'https://drafts.icpids.com/pdfs/ICPIDS2024-1HzVgPgxdlBrv8gckLTbgg/346900a138/346900a138.pdf'}","[{'name': 'RV Kulkarni', 'id': '-u7Lke4AAAAJ', 'link': 'https://scholar.google.com/citations?user=-u7Lke4AAAAJ&hl=en&num=20&oi=sra'}]"
276,17,Large Language Model–Based Critical Care Big Data Deployment and Extraction: Descriptive Analysis,C6MBPXGepR8J,https://medinform.jmir.org/2025/1/e63216,"Z Yang, SS Xu, X Liu, N Xu, Y Chen… - JMIR Medical …, 2025 - medinform.jmir.org","… By thoroughly studying the source code of table information retrieval based on the LangChain SQL database object, we successfully overcame this deficiency and achieved …",HTML,"{'versions': {'cluster_id': '2280402995525034763', 'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=2280402995525034763&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:C6MBPXGepR8J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:C6MBPXGepR8J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'jmir.org', 'format': 'HTML', 'link': 'https://medinform.jmir.org/2025/1/e63216'}","[{'name': 'X Liu', 'id': 'lfazmDIAAAAJ', 'link': 'https://scholar.google.com/citations?user=lfazmDIAAAAJ&hl=en&num=20&oi=sra'}]"
277,18,Enhancing ai systems with agentic workflows patterns in large language model,tGRP-qm_0h4J,https://ieeexplore.ieee.org/abstract/document/10578990/,"A Singh, A Ehtesham, S Kumar… - 2024 IEEE World AI IoT …, 2024 - ieeexplore.ieee.org","This paper explores the significant shift towards agentic workflows in the application of Large Language Models (LLMs), moving away from traditional, linear interactions between users …",,"{'cited_by': {'cites_id': '2221048303016961204', 'total': 15, 'link': 'https://scholar.google.com/scholar?cites=2221048303016961204&as_sdt=5,31&sciodt=0,31&hl=en&num=20'}, 'versions': {'cluster_id': '2221048303016961204', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=2221048303016961204&hl=en&num=20&as_sdt=0,31'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:tGRP-qm_0h4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'techrxiv.org', 'format': 'PDF', 'link': 'https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.173092393.30216600'}","[{'name': 'A Singh', 'id': 'az0wOaoAAAAJ', 'link': 'https://scholar.google.com/citations?user=az0wOaoAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'A Ehtesham', 'id': 'QaJ56B8AAAAJ', 'link': 'https://scholar.google.com/citations?user=QaJ56B8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Kumar', 'id': 'cQ7kok0AAAAJ', 'link': 'https://scholar.google.com/citations?user=cQ7kok0AAAAJ&hl=en&num=20&oi=sra'}]"
278,19,Library-Led AI,kkwClNodDcwJ,https://www.ala.org/sites/default/files/2025-03/Library-LedAI.pdf,"S Rodriguez, N Szydlowski, J Cai - ala.org",… thon libraries to provide these capabilities: LangChain and LlamaIndex. Both provide extensive … Until fall of 2024 our application used LangChain for this functionality. The team currently …,PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:kkwClNodDcwJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:kkwClNodDcwJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,31'}","{'name': 'ala.org', 'format': 'PDF', 'link': 'https://www.ala.org/sites/default/files/2025-03/Library-LedAI.pdf'}","[{'name': 'N Szydlowski', 'id': 'Sm59eAgAAAAJ', 'link': 'https://scholar.google.com/citations?user=Sm59eAgAAAAJ&hl=en&num=20&oi=sra'}]"
279,20,Integrating LLM APIs with LangChain,KVgsikn0l4wJ,https://link.springer.com/chapter/10.1007/979-8-8688-0882-1_2,"R Jay - Generative AI Apps with LangChain and Python: A …, 2024 - Springer","… While Chapter 1 provided a broad overview of LangChain and LLMs, … LangChain can simplify your development process. By abstracting the complexities of direct API calls, LangChain …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:KVgsikn0l4wJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,31'}",,
280,1,AI Driven Video Query System,z2DjboDUMpAJ,http://ijses.com/wp-content/uploads/2024/02/42-IJSES-V8N2.pdf,"MVRJS Eemani, CCD Sri, KV Vijay, SH Thabasum… - ijses.com",… Purpose: A custom library called langchain was created with great care to handle a variety … Usage in code: The integration of Langchain into the code base is essential to utilizing higher-…,PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:z2DjboDUMpAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'http://scholar.googleusercontent.com/scholar?q=cache:z2DjboDUMpAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'ijses.com', 'format': 'PDF', 'link': 'http://ijses.com/wp-content/uploads/2024/02/42-IJSES-V8N2.pdf'}",
281,2,LangChain,o1Yop4Qs54wJ,,H Chase - 2022,,CITATION,"{'cited_by': {'cites_id': '10153132833181816483', 'total': 241, 'link': 'https://scholar.google.com/scholar?cites=10153132833181816483&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:o1Yop4Qs54wJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,
282,3,"Natural Language Interaction for a BI Platform and Data Integration: Task-Oriented, Retrieval-Augmented Agent Using LLMs",Ry5Uwt4IikUJ,https://thesis.unipd.it/handle/20.500.12608/81803,F FRANCARIO - thesis.unipd.it,… The project utilized the LangChain library in Python to build an agent capable of executing … The project utilized the LangChain library in Python to build an agent capable of executing …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:Ry5Uwt4IikUJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:Ry5Uwt4IikUJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}",,
283,4,Tour Guide Robot Based on Large Language Model and User Behavior Analysis,CIGmhq63KBgJ,https://ieeexplore.ieee.org/abstract/document/10864058/,"H Lin, J Wang, Y Zhan, Y Zhang - 2024 5th International …, 2024 - ieeexplore.ieee.org",… model and the LangChain programming framework. LangChainChatchat is a local knowledge base question-and-answer application implemented with LangChain and large language …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:CIGmhq63KBgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,
284,5,LangChain and Agents,aZpEMsPbZM4J,https://link.springer.com/chapter/10.1007/979-8-8688-0515-8_3,"P Martra - Large Language Models Projects: Apply and …, 2024 - Springer","… This chapter will utilize LangChain extensively to build progressively more intricate projects, while reinforcing previously learned techniques, you’ll gain insights into novel …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:aZpEMsPbZM4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,"[{'name': 'P Martra', 'id': '-ndq1bYAAAAJ', 'link': 'https://scholar.google.com/citations?user=-ndq1bYAAAAJ&hl=en&num=20&oi=sra'}]"
285,6,"Peningkatan Efektivitas Kualitas Chatbot Jala Tech Melalui Implementasi Chat GPT, Auto-GPT, Dan Langchain",OijxO2w8VKwJ,https://dspace.uii.ac.id/handle/123456789/48582,R Qardafil - 2023 - dspace.uii.ac.id,"… Dengan menggunakan Chat GPT, Auto-GPT, dan LangChain, integrasi dengan Chat GPT … Di sisi lain, integrasi dengan LangChain dapat meningkatkan efisiensi penarikan data dari …",,"{'cited_by': {'cites_id': '12417616508127094842', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=12417616508127094842&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:OijxO2w8VKwJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:OijxO2w8VKwJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'uii.ac.id', 'format': 'PDF', 'link': 'https://dspace.uii.ac.id/bitstream/handle/123456789/48582/20523244.pdf?sequence=1&isAllowed=y'}","[{'name': 'R Qardafil', 'id': 'wtq1FzUAAAAJ', 'link': 'https://scholar.google.com/citations?user=wtq1FzUAAAAJ&hl=en&num=20&oi=sra'}]"
286,7,A survey on security and privacy of multimodal llms-connected healthcare perspective,iIoDNbxiIIkJ,https://ieeexplore.ieee.org/abstract/document/10465035/,"MA Rahman - 2023 IEEE Globecom Workshops (GC Wkshps), 2023 - ieeexplore.ieee.org",… and the Langchain embeddings are used to convert them into vectors that are then stored into one of the vector stores within Langchain framework. The Langchain framework then …,,"{'cited_by': {'cites_id': '9881006142933666440', 'total': 12, 'link': 'https://scholar.google.com/scholar?cites=9881006142933666440&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:iIoDNbxiIIkJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,"[{'name': 'MA Rahman', 'id': 'yV-SaYcAAAAJ', 'link': 'https://scholar.google.com/citations?user=yV-SaYcAAAAJ&hl=en&num=20&oi=sra'}]"
287,8,Documentation management system and PDF Chat: An Integrated Approach,74FTJjekeqIJ,https://alochana.org/wp-content/uploads/56-AJ2294.pdf,"V Devkate, A Divekar, P Hulmukhe, O Randhir… - alochana.org",… As we are using langchain's LLM the accuracy of the Langchain-model is nearly 92.5% so we simply can clearly say that our model is also correct in giving the right solution to the …,PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:74FTJjekeqIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:74FTJjekeqIJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'alochana.org', 'format': 'PDF', 'link': 'https://alochana.org/wp-content/uploads/56-AJ2294.pdf'}",
288,9,Building and Utilizing a Retrieval-Augmented Generation (RAG) Based Customized Chatbot System for Enterprises,zAIDi3ClcmYJ,https://koreascience.kr/article/JAKO202403735319146.page,"GM Choi - The Journal of the Korea institute of electronic …, 2024 - koreascience.kr","The purpose of this study is to investigate the use of large-scale language models (LLMs), which have been increasing in recent years, and the market size of RAG (Retrieval …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:zAIDi3ClcmYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:zAIDi3ClcmYJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'koreascience.kr', 'format': 'PDF', 'link': 'https://koreascience.kr/article/JAKO202403735319146.pdf'}",
289,10,Integrating AI Services into Semantic Kernel: A Case Study on Enhancing Functionality with Google PaLM and Large Language Models,9_rS9geTJfEJ,https://ojs.codeday.org/tossp/article/view/2,"A Maddy - Transactions on Open Source Software Projects, 2024 - ojs.codeday.org","… to Langchain’s documentation clarified the desired end result, though the process remained ambiguous. Despite the complexity of Langchain’s … differences between Langchain and …",,"{'cited_by': {'cites_id': '17376456399694002935', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=17376456399694002935&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:9_rS9geTJfEJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:9_rS9geTJfEJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'codeday.org', 'format': 'PDF', 'link': 'https://ojs.codeday.org/tossp/article/download/2/4'}",
290,11,Smart Tool for Streamlining Mutual Fund Insights through Efficient Data Analysis from Financial News,v_bn-3dvv7UJ,https://ieeexplore.ieee.org/abstract/document/10574980/,"A Lakshmanarao, AHG Bhavani… - … on Applied Artificial …, 2024 - ieeexplore.ieee.org","… Langchain facilitated NLP for effective comprehension and response to user queries, while integration with the OpenAI API enhanced the chatbot’s capabilities for generating human-…",,"{'cited_by': {'cites_id': '13096308802534766271', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=13096308802534766271&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:v_bn-3dvv7UJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,
291,12,A Generative Security Application Engineering Curriculum,dl9gj_oNyQUJ,https://arxiv.org/abs/2501.10900,"W Feng, D Baker-Robinson - arXiv preprint arXiv:2501.10900, 2025 - arxiv.org","… In the next part of the course, students experiment with building simple LLM applications using a variety of abstractions provided by the LangChain framework. One of the more challeng…",,"{'versions': {'cluster_id': '416879810306924406', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=416879810306924406&hl=en&num=20&as_sdt=0,44'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:dl9gj_oNyQUJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:dl9gj_oNyQUJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2501.10900'}","[{'name': 'W Feng', 'id': 'jFVekyIAAAAJ', 'link': 'https://scholar.google.com/citations?user=jFVekyIAAAAJ&hl=en&num=20&oi=sra'}]"
292,13,LangChain (2022),1s3vhg8NrYsJ,,"H Chase - URL https://github. com/hwchase17/langchain, 2024",,CITATION,"{'cited_by': {'cites_id': '10064715102582459862', 'total': 50, 'link': 'https://scholar.google.com/scholar?cites=10064715102582459862&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:1s3vhg8NrYsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,
293,14,"Langchain, october 2022",XVAMQ4qeaPcJ,,"H Chase - URL https://github. com/langchain-ai/langchain, 2022",,CITATION,"{'cited_by': {'cites_id': '17827673441613664349', 'total': 39, 'link': 'https://scholar.google.com/scholar?cites=17827673441613664349&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:XVAMQ4qeaPcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,
294,15,Enhancing Healthcare Information Accessibility Through a Generative Medical Chatbot,0RNFZLsW-jEJ,https://ieeexplore.ieee.org/abstract/document/10543529/,"A Kapoor, SD Shetty - 2024 International Conference on …, 2024 - ieeexplore.ieee.org",… LangChain is an NLP Framework which helps create apps that are context-aware and require reasoning. LangChain achieves this by providing a structured assembly of components to …,,"{'cited_by': {'cites_id': '3601215846133076945', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=3601215846133076945&as_sdt=5,44&sciodt=0,44&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:0RNFZLsW-jEJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44'}",,"[{'name': 'SD Shetty', 'id': 'XMy9rzEAAAAJ', 'link': 'https://scholar.google.com/citations?user=XMy9rzEAAAAJ&hl=en&num=20&oi=sra'}]"
295,16,MetaboT: A Conversational AI-Agent for Accessible Mass Spectrometry Metabolomics Data Mining,XVYI7q66cYQJ,https://hal.science/hal-04803451/,"LF Nothias - 72nd Conference on Mass Spectrometry and Allied …, 2024 - hal.science","… Developed in Python, MetaboT is based on the KGbot library for knowledge graph interactions, itself based on the LangChain library, and incorporates the Streamlit library for its web …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:XVYI7q66cYQJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,44', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:XVYI7q66cYQJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,44'}",,"[{'name': 'LF Nothias', 'id': 'sGYAUOcAAAAJ', 'link': 'https://scholar.google.com/citations?user=sGYAUOcAAAAJ&hl=en&num=20&oi=sra'}]"
