"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour ctxt all ""hydrogen"" AND ctxt all ""battery"" AND ctxt all ""electric vehicle"" AND ctxt all ""charging""";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"259";"Apparatus for hydrogen electric vehicle monitoring for predict abnormal or dangerous situations and method thereof";"JANG JEONG AH 
LEE HYUNMI 
OH SEI CHANG 
YI YONGJU";"UNIV AJOU IND ACADEMIC COOP FOUND [KR]";"KR102530581B1";"2021-12-03";"B60L3/12 
B60L58/30 
G06F17/18 
G06Q50/10 
G06Q50/30 
G08B21/18";"";"2023-05-10";"2023-05-10";"086385982";
"260";"APPAREIL DE CONVERSION DE PUISSANCE DE BLOC D'ALIMENTATION HYBRIDE ADAPTÉ À UN VÉHICULE ÉCOLOGIQUE";"KIM MYOUNG JUN [KR]";"MTEK INFORMATION TECH CO LTD [KR]";"WO2019107598A1";"2017-11-29";"";"B60L50/50 (EP) 
B60L53/11 (KR) 
B60L53/24 (KR) 
B60L53/305 (KR) 
B60L58/40 (KR) 
B60L2240/54 (KR) 
B60L2250/16 (KR) 
B60L2260/00 (KR) 
B60Y2200/91 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2019-06-06";"2019-06-06";"066664975";
"261";"Hydrogen fuel cell vehicle and fuel cell purging system thereof";"ZHANG YONGRUI 
LI ZHENSHAN 
WANG YONGQIU 
ZHANG YONGQIANG 
SUN PANLONG";"ZHENGZHOU YUTONG BUS CO LTD";"CN109616688A 
CN109616688B";"2017-09-28";"H01M8/06 
H02H3/087";"H02H3/087 (CN)";"2019-04-12 
2023-05-09";"2019-04-12";"066001417";
"262";"Quick charging system for 12V storage battery of fuel cell hydrogen energy automobile";"ZOU JUN 
HAO YIGUO 
LIU RUIHENG 
WANG JUNJIE 
ZHENG JIACAI 
ZHENG JIANZE 
LIU QIAO 
YAN YONGQIANG 
MEI WEN";"WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD";"CN112803513A";"2020-12-18";"H02J7/00";"H02J7/00712 (CN) 
H02J7/007194 (CN)";"2021-05-14";"2021-05-14";"075807031";
"263";"Sealed nickel-metal hydride storage cells and hybrid electric vehicle having the storage cells";"IKEZOE MICHINORI [JP]";"NISSAN MOTOR [US] 
NISSAN MOTOR [JP]";"US2004180256A1 
US7353894B2";"2003-03-10";"B60L11/18 
H01M10/34 
H01M10/52 
H01M4/58 
B60L50/16 
H01M10/30 
H01M10/34 
H01M10/44 
H02J7/00 
B60K1/00 
H01M10/42 
H01M6/42";"B60K6/28 (EP,US) 
B60K6/445 (EP,US) 
B60L3/0046 (EP,US) 
B60L50/16 (EP,US) 
B60L50/61 (EP,US) 
B60L50/64 (EP,US) 
B60L58/14 (EP,US) 
H01M10/345 (EP,US) 
H01M10/44 (EP,US) 
B60L2220/12 (EP,US) 
B60L2220/14 (EP,US) 
B60L2240/545 (EP,US) 
B60L2240/547 (EP,US) 
B60L2240/549 (EP,US) 
H01M2010/4292 (EP,US) 
H01M6/42 (EP,US) 
Y02E60/10 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y10S903/905 (EP,US) 
Y10S903/907 (EP,US) 
Y10S903/908 (EP,US)";"2004-09-16 
2008-04-08";"2004-09-15";"032767888";
"264";"Electric automotive system and air conditioning apparatus system for generation";"YUN DONG GOO [KR]";"STORAGEAN INC [KR]";"KR20180087051A";"2017-01-24";"B60K15/03 
B60L11/18 
B60L15/20 
B60L3/00 
H01M8/0438 
H01M8/04746";"B60K15/03006 (KR) 
B60K15/077 (KR) 
B60K28/14 (KR) 
B60L15/20 (KR) 
B60L3/0046 (KR) 
B60L3/0092 (KR) 
B60L50/50 (KR) 
B60L58/13 (KR) 
B60L58/18 (KR) 
H01M8/0438 (KR) 
H01M8/04746 (KR) 
B60K2015/03026 (KR) 
B60K2015/03098 (KR) 
B60K2015/0321 (KR) 
B60K2015/03236 (KR) 
B60K2015/03315 (KR) 
B60K2015/03414 (KR) 
B60K2015/03427 (KR) 
B60L2240/547 (KR) 
B60Y2200/91 (KR) 
B60Y2400/30 (KR) 
Y02E60/50 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (KR) 
Y02T10/72 (EP)";"2018-08-01";"2018-08-01";"063228131";
"265";"Vehicle energy management method, control unit, vehicle and medium";"LIU HONGJIAN";"GREAT WALL MOTOR CO LTD";"CN117360333A";"2023-11-22";"B60L58/10 
B60L58/30";"B60L58/10 (CN) 
B60L58/30 (CN)";"2024-01-09";"2024-01-09";"089394825";
"266";"Emergency charging equipment for electric car";"YU MIN 
SUN LIXIN 
ZHANG CHUNXIA 
DING CHENYANG 
GUO YANYU";"UNIV SHAANXI SCIENCE & TECH";"CN110667413A";"2019-09-29";"B60L53/00 
B60L53/14";"B60L53/00 (CN) 
B60L53/14 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2020-01-10";"2020-01-10";"069080068";
"267";"Double-layer optimization scheduling method and system for micro-energy network containing electric vehicle energy charging station";"XU DA 
ZHANG MINGCAN 
LI HONGJIA 
HUANG ZHANGYOU";"UNIV CHINA GEOSCIENCES WUHAN";"CN117944503A";"2024-01-29";"B60L53/31 
B60L53/62 
G06Q10/0631 
G06Q50/06 
H02J3/00";"B60L53/31 (CN) 
B60L53/62 (CN) 
G06Q10/06312 (CN) 
G06Q50/06 (CN) 
H02J3/00 (CN) 
H02J3/008 (CN) 
H02J2203/10 (CN) 
H02J2203/20 (CN)";"2024-04-30";"2024-04-30";"090796014";
"268";"Mobile quick charging car";"FAN PINLIANG 
FAN DEXIAN 
FAN ZHIQIANG 
ZOU GUOHUI 
HONG CHENDAN";"FAN PINLIANG 
ZOU GUOHUI";"CN105539251A";"2016-01-21";"B60L11/18 
B60P3/00 
H02J7/00";"B60L53/00 (CN) 
B60P3/00 (CN) 
H02J7/0027 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2016-05-04";"2016-05-04";"055818962";
"269";"Power supply system and method based on electric vehicle storage array and hydrogen fuel cell";"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING";"CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD";"CN111697685A";"2020-06-24";"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76";"A62B13/00 (CN) 
B60P3/00 (CN) 
F24D15/00 (CN) 
F24F11/64 (CN) 
F24F11/72 (CN) 
F24F11/80 (CN) 
H02J9/068 (CN) 
H02J9/08 (CN) 
F24F2110/10 (CN) 
F24F2110/20 (CN) 
F24F2110/65 (CN) 
F24F2110/70 (CN) 
F24F2110/76 (CN) 
Y02B70/30 (EP) 
Y04S20/20 (EP)";"2020-09-22";"2020-09-22";"072483617";
"270";"Lead-acid battery rapid charge-discharge test method for electric road vehicle";"WU LIANG 
ZHU JUNPING 
MA YONGQUAN 
DAI GUIPING";"CHILWEE POWER CO LTD";"CN106291382A";"2016-08-25";"B60L11/18 
G01R31/36";"B60L58/10 (CN) 
B60L58/12 (CN) 
B60L58/13 (CN) 
B60L58/16 (CN) 
G01R31/379 (CN) 
G01R31/387 (CN) 
G01R31/392 (CN) 
Y02T10/70 (EP)";"2017-01-04";"2017-01-04";"057616138";
"271";"POWER SUPPLY SYSTEM WITH HYDROGEN FUEL CELL";"SONG KAI-TAI [TW] 
WANG SZ-SHENG [TW] 
SONG SHAO-HUAN [TW]";"UNIV NATIONAL CHIAO TUNG [TW]";"US10906428B2 
US2019322180A1";"2018-04-23";"B60L50/90 
B60L58/21 
B60L58/31 
B60L58/40 
H02J7/00";"B60L50/90 (US) 
B60L53/53 (EP) 
B60L53/54 (EP) 
B60L58/21 (US) 
B60L58/31 (US) 
B60L58/40 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2019-10-24 
2021-02-02";"2019-08-11";"068236061";
"272";"Electric vehicle wind-solar complementary power generation infinite endurance system";"ZHAO GUANGJUN";"ZHAO GUANGJUN";"CN112277654A";"2020-10-22";"B60L58/10 
B60L8/00 
F03D9/11 
F03D9/32 
H02J7/35";"B60L58/10 (CN) 
B60L8/003 (CN) 
B60L8/006 (CN) 
F03D9/11 (CN) 
F03D9/32 (CN) 
H02J7/35 (CN) 
Y02E10/72 (EP) 
Y02E10/728 (EP) 
Y02E70/30 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2021-01-29";"2021-01-29";"074373868";
"273";"Logistics vehicle control method and system";"HUANG ZUPENG 
HUANG QINGMIN 
QIN ZHENJIE 
ZHANG FEI 
YANG SUZHEN 
DAI YONGQIANG 
GONG JINGJING";"LIUZHOU SAIKE TECH DEVELOPMENT CO LTD";"CN117774693A";"2023-11-24";"B60L3/00 
B60L3/04";"Y02T10/70 (EP)";"2024-03-29";"2024-03-29";"090398961";
"274";"SOURCE SUPPLYING METHOD FOR TRANSMITTER OF FUEL CELL VEHICLE";"KIM HYUNG KI [KR] 
KIM SANG HYUN [KR] 
SHIM JI HYUN [KR]";"HYUNDAI MOTOR CO LTD [KR] 
KIA MOTORS CORP [KR]";"KR101235061B1 
KR20120064356A";"2010-12-09";"B60L11/18 
H02J7/00";"B60L50/50 (KR) 
H02J7/00 (KR) 
Y02T10/70 (EP)";"2012-06-19 
2013-02-19";"2012-06-19";"046684484";
"275";"Mobile charging device";"SHENG JUN 
XIANG JIN 
YU HUIGEN 
ZHOU JIN 
YAN YONGHENG 
QIN YING 
CHOU LILI 
LI NING";"BEIJING ELECTRIC VEHICLE CO LTD";"CN203481905U";"2013-05-14";"H02J7/00 
H02J7/32";"";"2014-03-12";"2014-03-12";"050230160";
"276";"VEHICLE SYSTEM HAVING FUNCTION OF PREVENTING OCCURRENCE FACTORS OF SUDDEN UNINTENDED ACCELERATION";"YOON DONG-GU [KR]";"STORAGEAN INC [KR]";"US2019359199A1";"2017-01-24";"B60W10/06 
B60W10/08 
B60W10/26 
B60W20/13 
H01M16/00 
H01M8/04082 
H01M8/04746 
H01M8/0606";"B60K15/03 (EP,US) 
B60K15/077 (KR) 
B60L1/02 (KR) 
B60L15/20 (EP) 
B60L3/00 (EP) 
B60L50/75 (EP,US) 
B60L53/24 (KR) 
B60L58/40 (EP) 
B60W10/06 (US) 
B60W10/08 (US) 
B60W10/26 (US) 
B60W10/28 (US) 
B60W20/13 (US) 
H01M10/482 (EP,KR,US) 
H01M16/006 (EP,US) 
H01M8/04201 (US) 
H01M8/0438 (KR) 
H01M8/04567 (EP) 
H01M8/04619 (EP) 
H01M8/04746 (KR) 
H01M8/04776 (US) 
H01M8/0606 (US) 
H01M8/0612 (EP,US) 
H02J1/109 (EP) 
H02J7/0013 (EP) 
H02J7/1423 (EP) 
H02J7/1438 (EP) 
H02J7/1446 (EP) 
H02J7/34 (EP) 
B60K2015/03256 (KR) 
B60L2210/10 (US) 
B60W2710/08 (US) 
B60W2710/242 (US) 
B60Y2200/91 (KR) 
B60Y2200/92 (US) 
B60Y2400/434 (US) 
H01M2250/20 (EP,US) 
H01M8/04291 (EP) 
H02J2310/48 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T10/92 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2019-11-28";"2018-08-01";"062978617";
"277";"Wind/ luminous/electric integrated centralized energy storage type electric vehicle charging system";"JING HUI";"SICHUAN NEWBORN POWER MFG CO LTD";"CN203522210U";"2013-09-06";"H02J3/28 
H02J7/00";"Y02P80/10 (EP) 
Y02P80/20 (EP)";"2014-04-02";"2014-04-02";"050381085";
"278";"The invention discloses an electric vehicle power battery voltage balance teaching auxiliary simulation device";"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE";"LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY";"CN208908109U";"2018-08-16";"G09B23/18";"";"2019-05-28";"2019-05-28";"066613058";
"279";"ELECTRIC VEHICLE";"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE 
NAKANE KAZUYOSHI 
TASHIRO KEISUKE";"MITSUBISHI MOTORS CORP";"JP2018147732A 
JP6950203B2";"2017-03-06";"B60L11/18 
H01M8/04701 
B60K1/04 
B60K8/00 
H01M8/00 
H01M8/04 
B60L50/75 
H01M8/04291 
H01M8/043";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2018-09-20 
2021-10-13";"2018-09-20";"063591519";
"280";"Remove self -service charging device of storage battery car";"SHA DEFU";"CHEJIXIU CAR TECH CO LTD";"CN206640363U";"2017-04-18";"B60P3/00 
H02J7/00 
H02J7/35 
H02J9/04 
H02S40/36";"Y02B90/10 (EP) 
Y02E10/50 (EP)";"2017-11-14";"2017-11-14";"060245444";
"281";"Electric vehicle power system with fuel cell as vehicle-mounted extended range type charger";"CHANGJUN XIE 
SHUHAI QUAN 
DI SHEN 
YING SHI 
LIANG HUANG 
QIHONG CHEN 
XIAOMING SUN 
LIYAN ZHANG 
JIAN DENG";"UNIV WUHAN TECH";"CN202357902U";"2011-08-08";"B60L11/00 
B60L11/18";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2012-08-01";"2012-08-01";"046569112";
"282";"Hydrogen-rich and less-electricity electro-hydrogen production and charging integrated system";"GUO DONGXU 
LI NA 
YANG JIALIN";"STATE GRID INTEGRATED ENERGY SERVICE GROUP CO LTD";"CN116533940A";"2023-04-26";"B60L53/51 
B60L53/52 
B60S5/02 
C25B1/04 
C25B9/65";"B60L53/51 (CN) 
B60L53/52 (CN) 
B60S5/02 (CN) 
C25B1/04 (CN) 
C25B9/65 (CN)";"2023-08-04";"2023-08-04";"087446289";
"283";"TEMPERATURE CONTROL METHOD FOR NICKEL-HYDROGEN BATTERY";"SATO NOBORU 
NAKATANI KATSUNORI";"HONDA MOTOR CO LTD";"JPH0773907A";"1993-09-03";"H01M10/50 
H01M10/50";"";"1995-03-17";"1995-03-17";"017108947";
"284";"Power-on and power-off control system and method suitable for hydrogen fuel cell hybrid electric vehicle";"YANG JIA 
SONG SHIXIN 
PENG SILUN 
ZHANG RUIQIANG 
ZHANG GUOQING 
ZHAO XINHUA 
YANG SHUAI";"UNIV JILIN";"CN117565756A";"2023-11-21";"B60L58/26 
B60L58/31 
B60L58/40";"B60L58/26 (CN) 
B60L58/31 (CN) 
B60L58/40 (CN)";"2024-02-20";"2024-02-20";"089891337";
"285";"Charging method of power battery during hydrogen energy automobile key in OFF gear state";"JIN DONGXU 
HAO YIGUO";"WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD";"CN111993956A";"2020-05-25";"B60L3/00 
B60L58/40 
H02J7/00";"B60L3/00 (CN) 
B60L58/40 (CN) 
H02J7/0029 (CN) 
H02J7/0047 (CN) 
Y02T10/70 (EP) 
Y02T90/16 (EP)";"2020-11-27";"2020-11-27";"073466362";
"286";"Hydrogen energy moped control system";"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI";"YOUON TECH CO LTD";"CN209505977U";"2019-01-30";"B60L58/30 
B60L58/33 
B60L58/40 
B62H5/00 
B62M6/45";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-10-18";"2019-10-18";"068203323";
"287";"Control method and system for hydrogen fuel cell in hybrid electric vehicle";"ZHANG JIAMOU 
ZHAO YUMING 
WANG FUJUN 
LU GUIBING";"HANTENG AUTOMOBILE CO LTD";"CN109795374A";"2019-01-25";"B60L58/30";"Y02T90/40 (EP)";"2019-05-24";"2019-05-24";"066558995";
"288";"Emergency rescue fuel cell power supply charging vehicle and control method thereof";"QUAN JIN 
YE MAIKE 
QUAN HUAN 
XIONG YING 
HU XIONGHUI 
LU QINGWEN 
QUAN SHUHAI";"WUHAN HYVITECH CO LTD 
HAIYI XINNENG HUBEI TECH CO LTD";"CN114834287A";"2022-05-20";"B60L53/00 
B60L53/14 
B60L53/20 
B60L53/53 
B60L53/54 
B60L53/57 
B60L58/10 
B60L58/12 
B60L58/30 
B60L58/31 
B60L58/40 
B60P3/00 
H02J7/00";"B60L53/00 (CN) 
B60L53/14 (CN) 
B60L53/20 (CN) 
B60L53/53 (CN) 
B60L53/54 (CN) 
B60L53/57 (CN) 
B60L58/10 (CN) 
B60L58/12 (CN) 
B60L58/30 (CN) 
B60L58/31 (CN) 
B60L58/40 (CN) 
B60P3/00 (CN) 
H02J7/0048 (CN) 
H02J7/342 (CN) 
B60L2200/00 (CN) 
B60L2210/14 (CN) 
B60L2210/40 (CN) 
B60L2240/12 (CN) 
B60L2240/54 (CN) 
B60L2260/20 (CN) 
B60L2260/44 (CN) 
Y02T90/40 (EP)";"2022-08-02";"2022-08-02";"082571287";
"289";"Fuel cell energy management system of hydrogen energy automobile";"CHENG FEI 
HAO YIGUO";"WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD";"CN110605977A 
CN110605977B";"2019-09-04";"B60L50/40 
B60L50/70 
B60L50/75 
B60L58/30 
B60W30/188";"B60L50/40 (CN) 
B60L50/70 (CN) 
B60L50/75 (CN) 
B60L58/30 (CN) 
B60W30/188 (CN) 
Y02T10/70 (EP) 
Y02T90/16 (EP) 
Y02T90/40 (EP)";"2019-12-24 
2021-04-23";"2019-12-24";"068892195";
"290";"Automotive nickel-metal hydride battery charging device";"CHONGYUAN HUANG";"SHANGHAI KEWEI LOW PRESSURE ELECTRICAL APPLIANCE FACTORY";"CN102420439A";"2010-09-27";"H02J7/00";"";"2012-04-18";"2012-04-18";"045944722";
"291";"A Hydrogen Fuel Cell System for A Refrigerator of a Vehicle";"HAN WOO SEUK";"HORIZON FUEL CELL KOREA CO LTD [KR]";"KR102734070B1 
KR20230144737A";"2022-04-08";"H01M16/00 
H01M8/0432 
H01M8/04858 
H02J7/00";"H01M16/006 (KR) 
H01M8/0432 (KR) 
H01M8/0494 (KR) 
H02J7/00 (KR) 
B60H2001/3292 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (EP)";"2023-10-17 
2024-11-25";"2023-10-17";"088557733";
"292";"Electric automobile high power capacity ni -mh subassembly battery";"CHEN WENHONG 
CHEN WENMING 
CHEN DUANDIAN 
LI PEIKUN";"QUANZHOU JINTION ELECTRONICS CO LTD";"CN205864029U";"2016-07-20";"B60L11/18 
H01M10/42 
H02J7/04";"Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP) 
Y02T90/16 (EP)";"2017-01-04";"2017-01-04";"057647494";
"293";"Electric vehicle charging and discharging facility fire alarm system based on monitor";"OU HIROSHI 
ZHAO XIAORONG 
ZHAO XIAOYU 
LI TAISHENG 
LIN JUPENG 
HOU LIQUN 
ZHANG YAQI 
WEN KAI";"CHINA RAILWAY CONSTR GROUP CO";"CN114333209A";"2021-11-17";"G08B17/06 
G08B17/10 
G08B21/00 
G08B21/16";"";"2022-04-12";"2022-04-12";"081046235";
"294";"Electric vehicle charge control method and system";"DONG WAN";"WUHU MOTIONTEC AUTOMOTIVE CO LTD";"CN102761144A";"2011-04-27";"H02J7/00";"";"2012-10-31";"2012-10-31";"047055500";
"295";"Energy management method and device for hydrogen fuel cell electric vehicle and storage medium";"ZHOU JIANHAO 
HAI BIN 
SAI YINGHUI 
SONG TINGLUN 
ZHOU ZHIGUANG 
WANG LEI 
FANG SHI";"CHERY AUTOMOBILE CO LTD";"CN112078565A 
CN112078565B";"2020-09-17";"B60W10/26 
B60W10/28 
B60W20/10 
B60W40/00 
B60W40/105";"B60W10/26 (CN) 
B60W10/28 (CN) 
B60W20/10 (CN) 
B60W40/00 (CN) 
B60W40/105 (CN) 
Y02T90/40 (EP)";"2020-12-15 
2021-07-30";"2020-12-15";"073737302";
"296";"Day-ahead scheduling method and system for electricity hydrogen production and charging station based on shared hydrogen energy storage";"TIAN XUEQIN 
YANG HENG 
YUAN TIEJIANG 
GE YANGYANG 
YANG FUYUAN";"UNIV DALIAN TECH 
STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD 
ELECTRIC POWER RES INSTITUTE OF STATE GRID LIAONING ELECTRIC POWER SUPPLY CO LTD 
STATE GRID CORP CHINA";"CN118211793A";"2024-03-26";"G06F17/18 
G06Q10/04 
G06Q10/0631 
G06Q30/0201 
G06Q50/06";"G06F17/18 (CN) 
G06Q10/04 (CN) 
G06Q10/06312 (CN) 
G06Q10/06315 (CN) 
G06Q30/0206 (CN) 
G06Q50/06 (CN)";"2024-06-18";"2024-06-18";"091445822";
"297";"Hydrogen fuel cell wide-body vehicle";"TANG KAILIN 
MO SIJIAN 
ZHOU CHANGQI 
YANG MING 
OUYANG HUIYU 
LI GUANGHENG 
LUO YUN 
ZHOU YUAN";"LIUMAN CHANZHOU MINING MACHINERY LTD COMPANY";"CN216331451U";"2021-06-24";"B60L50/70 
B60L7/10";"Y02T90/40 (EP)";"2022-04-19";"2022-04-19";"081159445";
"298";"Miniature EV Battery Charger and Range Extender";"BAILEY KENNETH STEPHEN [US]";"BAILEY KENNETH STEPHEN [US]";"US2023331108A1";"2022-05-08";"B60L53/54 
B60L53/57 
H02J7/00";"B60L50/71 (EP) 
B60L50/75 (EP) 
B60L53/54 (US) 
B60L53/57 (US) 
H02J7/0042 (EP,US) 
B60S5/02 (US) 
H02J15/008 (EP,US)";"2023-10-19";"2023-10-19";"088308920";
"299";"Electric scooter with on-board charging system";"HUGHES PETER S [US] 
BALDWIN JAMES DANIEL [US]";"VECTRIX CORP [US]";"US6326765B1";"2000-10-04";"H01M10/46 
B60L11/18 
B60L50/15 
B62J11/00 
B62J9/00 
B62J99/00 
B62M23/02 
B62M7/00 
H01M10/46 
H01M8/00 
H02J7/00";"B60L15/007 (EP,US) 
B60L50/50 (KR) 
B60L50/53 (EP,US) 
B60L50/64 (EP,US) 
B60L50/66 (EP,US) 
B60L53/11 (EP,US) 
B60L53/14 (EP,US) 
B60L58/33 (EP,US) 
B60L58/40 (EP,US) 
B62M7/12 (EP,US) 
B60L2200/12 (EP,US) 
B62K2202/00 (EP,US) 
B62K2204/00 (EP,US) 
H01M2250/00 (EP,US) 
H01M2250/20 (EP,US) 
H01M2250/402 (EP,US) 
H01M2250/407 (EP,US) 
Y02B90/10 (EP,US) 
Y02E60/50 (EP,US) 
Y02T10/64 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (US) 
Y02T90/14 (EP,US) 
Y02T90/40 (EP,US)";"2001-12-04";"2001-12-04";"024726791";
"300";"Charging and battery replacing energy system and charging and battery replacing method";"YU HAO 
JIANG WEI";"GAC AION NEW ENERGY AUTOMOBILE CO LTD";"CN115566713A";"2022-10-31";"H02J3/28 
H02J3/32 
H02J3/46";"H02J3/28 (CN) 
H02J3/322 (CN) 
H02J3/466 (CN) 
H02J2203/10 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2023-01-03";"2023-01-03";"084768633";
"301";"Hydrogen fuel cell electric vehicle power assembly cooling system, test method and evaluation method";"CHEN ZHENGDONG 
YU XIANG 
WANG WENKUI 
ZHAO WENTIAN 
LI BAOQUAN 
LI HONGBO 
LI SONGLIN";"CHINA FAW GROUP CORP";"CN114824357A 
CN114824357B";"2022-03-31";"H01M8/04007 
H01M8/04029 
H01M8/04992";"H01M8/04007 (CN) 
H01M8/04029 (CN) 
H01M8/04074 (CN) 
H01M8/04992 (CN)";"2022-07-29 
2024-05-07";"2022-07-29";"082532979";
"302";"FUSION-COMBINATION CHARGING SYSTEMS AND CONTROL METHOD THEREOF";"YOO JAEYOO";"LG ELECTRONICS INC [KR]";"KR20210103041A";"2020-02-12";"B60L53/60 
B60L58/30 
H01M8/04089 
H01M8/04828";"B60L3/0046 (KR) 
B60L53/60 (KR) 
B60L55/00 (KR) 
B60L58/12 (KR) 
B60L58/30 (KR) 
B60L58/40 (KR) 
H01M8/04089 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
B60L2240/54 (KR) 
B60Y2200/90 (KR) 
H01M2250/20 (KR) 
H02J2207/40 (KR) 
Y02E60/50 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP,KR)";"2021-08-23";"2021-08-23";"077499513";
"303";"HYBRID AUTONOMOUS DRIVING VEHICLE BASED ON FUEL CELL";"KONG BYEOUNG JIN [KR] 
LEE GUN 
PARK YONG HYUN 
PARK YEONG JIN 
NOH DONGSUN";"KONG BYEOUNG JIN [KR]";"KR102630225B1 
KR20230118749A";"2022-02-04";"B60L15/20 
B60L53/31 
B60L58/34 
B60L58/40 
B60W10/08 
B60W10/26 
B60W10/28 
B60W20/13 
B60W30/182 
B60W50/14 
B60W60/00";"B60L15/20 (KR) 
B60L53/31 (KR) 
B60L58/34 (KR) 
B60L58/40 (KR) 
B60W10/08 (KR) 
B60W10/26 (KR) 
B60W10/28 (KR) 
B60W20/13 (KR) 
B60W30/182 (KR) 
B60W50/14 (KR) 
B60W60/0016 (KR) 
H01M8/04201 (KR) 
B60L2240/42 (KR) 
B60L2250/16 (KR) 
B60L2260/26 (KR) 
B60L2260/52 (KR) 
B60W2050/146 (KR) 
B60W2510/244 (KR) 
B60W2556/45 (KR) 
B60Y2200/92 (KR) 
B60Y2400/302 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (KR) 
Y02T10/7072 (KR) 
Y02T90/40 (KR)";"2023-08-14 
2024-01-30";"2023-08-14";"087565748";
"304";"Emergency power supply system based on coupling of electric vehicle storage array and hydrogen fuel cell";"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING";"CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD";"CN212649181U";"2020-06-24";"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76";"";"2021-03-02";"2021-03-02";"074772504";
