,No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,Applicant Type,Primary_CPC,Country,Publication Year,Patent Age,Assigned Cost,patent cost,Patent Value,Market Rate,Mean Value
245,248,MULTI-INPUT MULTI-OUTPUT RENEWABLE ENERGY SYSTEMS,"SHARPE BARRY [US] 
HADLEY BRIAN [US] 
WALTON CHARLES FREDERICK [US]",['BLOOM ENERGY CORP [US]'],"US11820247B2 
US2023133079A1",1970,"B60L50/75 
B60L53/54 
B60L58/30 
B60L58/40 
C25B1/04 
H01M8/0656 
H02J3/38 
H02J7/00","['B60L50/75 (EP,US) ', 'B60L53/54 (EP,US) ', 'B60L58/30 (EP,US) ', 'B60L58/40 (EP,US) ', 'C25B1/04 (EP,US) ', 'C25B15/00 (EP) ', 'H01M16/003 (EP) ', 'H01M16/006 (EP) ', 'H01M8/0656 (EP,US) ', 'H01M8/186 (EP) ', 'H02J15/008 (EP) ', 'H02J3/381 (EP,US) ', 'H01M2008/1293 (EP) ', 'H01M2250/10 (EP) ', 'H01M2250/20 (EP,US) ', 'H02J2300/30 (EP,US) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/12 (EP)']","2023-05-04 
2023-11-21",2023-05-04,86146075,,2023-05-04,2023-11-21,US11820247B2,US2023133079A1,US,US,2023,2021,US,Company - General,"B60L50/75 (EP,US)",US,,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
246,249,Multi-source emergency power supply system and method based on electric vehicle power storage array,"WANG KUAN 
LI CHANGYONG 
HUANG HONGYU 
FANG HONGWEI 
HOU LIQUN 
ZHANG YAQI 
SHI LEXIAN 
WEN KAI","['CHINA RAILWAY CONSTR GROUP CO ', 'CHINA RAILWAY CONSTRUCTION CORP LTD']",CN111654099A,1970,"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76","['A62B13/00 (CN) ', 'B60P3/00 (CN) ', 'F24D15/00 (CN) ', 'F24F11/64 (CN) ', 'F24F11/72 (CN) ', 'F24F11/80 (CN) ', 'H02J9/068 (CN) ', 'H02J9/08 (CN) ', 'F24F2110/10 (CN) ', 'F24F2110/20 (CN) ', 'F24F2110/65 (CN) ', 'F24F2110/70 (CN) ', 'F24F2110/76 (CN) ', 'Y02B70/30 (EP) ', 'Y02B90/10 (EP) ', 'Y04S20/20 (EP)']",2020-09-11,2020-09-11,72350105,,2020-09-11,,CN111654099A,,CN,,2020,2020,,Company - Limited,A62B13/00 (CN),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
247,250,Energy traffic collaborative optimization method considering clean energy and electric vehicle,"SU JIA 
CHANG XINYUE 
XUE YIXUN",['SHANXI ENERGY INTERNET RES INSTITUTE'],CN117993617A,1970,"G06Q10/04 
G06Q10/063 
G06Q50/06 
G06Q50/40","['G06Q10/04 (CN) ', 'G06Q10/063 (CN) ', 'G06Q50/06 (CN)']",2024-05-07,2024-05-07,90887169,,2024-05-07,,CN117993617A,,CN,,2024,2024,,Energy Company,G06Q10/04 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
248,251,System And Method For Energy Recovery In A Hydrogen Or Natural Gas Engine,EVANS DALE MICHAEL [US],['EVANS DALE MICHAEL [US]'],US2013319359A1,1970,"F02B43/10 
F03G7/00","['B60K6/24 (EP,US) ', 'B60K6/46 (EP,US) ', 'B60L1/003 (EP,US) ', 'B60L1/006 (EP,US) ', 'B60L50/62 (EP,US) ', 'B60L53/14 (EP,US) ', 'B60L7/12 (EP,US) ', 'F02M21/0206 (EP,US) ', 'F02M21/0215 (EP,US) ', 'B60L2240/36 (EP,US) ', 'B60L2240/445 (EP,US) ', 'B60Y2400/433 (EP,US) ', 'B60Y2400/434 (EP,US) ', 'B60Y2400/44 (EP,US) ', 'Y02T10/30 (EP,US) ', 'Y02T10/62 (EP,US) ', 'Y02T10/70 (EP,US) ', 'Y02T10/7072 (EP,US) ', 'Y02T90/14 (EP,US) ', 'Y02T90/40 (EP,US)']",2013-12-05,2013-12-05,48741472,,2013-12-05,,US2013319359A1,,US,,2013,2012,US,Individual Inventor,"B60K6/24 (EP,US)",US,2013.0,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
249,252,Multi-source emergency power supply system and method based on electric vehicle power storage array,"WANG KUAN 
LIN JUPENG 
WANG ZHENXING 
FANG HONGWEI 
HAN FENG 
CHEN JING 
SHI LEXIAN 
LI YIN","['CHINA RAILWAY CONSTR GROUP CO ', 'CHINA RAILWAY CONSTRUCTION CORP LTD']",CN111668919A,1970,"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76","['A62B13/00 (CN) ', 'B60P3/00 (CN) ', 'F24D15/00 (CN) ', 'F24F11/64 (CN) ', 'F24F11/72 (CN) ', 'F24F11/80 (CN) ', 'H02J9/068 (CN) ', 'H02J9/08 (CN) ', 'F24F2110/10 (CN) ', 'F24F2110/20 (CN) ', 'F24F2110/65 (CN) ', 'F24F2110/70 (CN) ', 'F24F2110/76 (CN) ', 'Y02B90/10 (EP)']",2020-09-15,2020-09-15,72389740,,2020-09-15,,CN111668919A,,CN,,2020,2020,,Company - Limited,A62B13/00 (CN),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
250,253,Day-ahead scheduling method and system for electricity hydrogen production and charging station based on shared hydrogen energy storage,"TIAN XUEQIN 
YANG HENG 
YUAN TIEJIANG 
GE YANGYANG 
YANG FUYUAN","['UNIV DALIAN TECH ', 'STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD ', 'ELECTRIC POWER RES INSTITUTE OF STATE GRID LIAONING ELECTRIC POWER SUPPLY CO LTD ', 'STATE GRID CORP CHINA']",CN118211793A,1970,"G06F17/18 
G06Q10/04 
G06Q10/0631 
G06Q30/0201 
G06Q50/06","['G06F17/18 (CN) ', 'G06Q10/04 (CN) ', 'G06Q10/06312 (CN) ', 'G06Q10/06315 (CN) ', 'G06Q30/0206 (CN) ', 'G06Q50/06 (CN)']",2024-06-18,2024-06-18,91445822,,2024-06-18,,CN118211793A,,CN,,2024,2024,,Company - Limited,G06F17/18 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
251,254,Box type cylindrical nickel-hydrogen power battery pack and its producing method,"CHEN YU [CN] 
CAI YUN [CN] 
YU DONGPING [CN]",['SHENJIAN METALLURG ELECTROMECH [CN]'],CN1280400A,1970,"H01M10/00 
H01M10/30 
H01M10/42 
H01M2/02 
H01M10/00 
H01M10/30 
H01M10/42 
H01M2/02",['Y02E60/10 (EP)'],2001-01-17,2001-01-17,5274116,,2001-01-17,,CN1280400A,,CN,,2001,1999,CN,Individual Inventor,Y02E60/10 (EP),CN,2001.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
252,255,Power-on and power-off control system and method suitable for hydrogen fuel cell hybrid electric vehicle,"YANG JIA 
SONG SHIXIN 
PENG SILUN 
ZHANG RUIQIANG 
ZHANG GUOQING 
ZHAO XINHUA 
YANG SHUAI",['UNIV JILIN'],CN117565756A,1970,"B60L58/26 
B60L58/31 
B60L58/40","['B60L58/26 (CN) ', 'B60L58/31 (CN) ', 'B60L58/40 (CN)']",2024-02-20,2024-02-20,89891337,,2024-02-20,,CN117565756A,,CN,,2024,2023,,University/Research Institution,B60L58/26 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
253,256,HYBRID TYPE FUEL CELL SYSTEM,KIM JIN WAN [KR],['KIM JIN WAN [KR]'],KR20100074725A,1970,"B60L11/18 
H02J7/14","['B60L50/72 (KR) ', 'B60L58/30 (KR) ', 'H02J7/14 (KR) ', 'B60Y2400/202 (KR) ', 'H01M2250/20 (KR) ', 'Y02E60/50 (EP,KR) ', 'Y02T10/70 (EP)']",2010-07-02,2010-07-02,42637217,,2010-07-02,,KR20100074725A,,KR,,2010,2008,KR,Individual Inventor,B60L50/72 (KR),KR,2010.0,55,25000.0,25000.0,25000.0,15654.929577464789,15654.929577464789
254,257,Battery swapping method,"TSAI HSIN-CHI [TW] 
LEE CHIN-TRAN [TW]",['TSAI HSIN-CHI [TW]'],TW201333868A,1970,G06Q50/06,,2013-08-16,2013-08-14,48921182,,2013-08-16,,TW201333868A,,TW,,2013,2012,TW,Individual Inventor,,TW,2013.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
255,258,"Fuel cell system, power system for electric vehicle and electric vehicle","HUANG YANG 
SONG JIANI 
ZHANG CHENGYANG","['BEIJING AUTOMOTIVE GROUP CO LTD ', 'BEIJING AUTOMOTIVE RES INST CO LTD']",CN209776185U,1970,"B60L50/72 
B60L58/33",['Y02T90/40 (EP)'],2019-12-13,2019-12-13,68790562,,2019-12-13,,CN209776185U,,CN,,2019,2018,,Company - Limited,Y02T90/40 (EP),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
256,259,Methanol-water hybrid electric vehicle,"GAO JIMING 
YANG YANZHANG",['GUANGDONG CREATE TECH CO LTD'],CN111301185A,1970,"B60L50/75 
B60L58/33 
B60L58/40 
H01M8/0612","['B60L50/75 (CN) ', 'B60L58/33 (CN) ', 'B60L58/40 (CN) ', 'H01M8/0618 (CN) ', 'Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2020-06-19,2020-06-19,71155505,,2020-06-19,,CN111301185A,,CN,,2020,2020,,Company - Limited,B60L50/75 (CN),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
257,260,Intelligent movable type charging vehicle with fuel cell unit as energy source,"ZHANG YAN 
ZHOU WEIDONG 
MIAO MINGMING 
DENG SHAOKUI 
TAO YE 
FU QINGQING",['ZHONGKE IRON AND STEEL RESEARCH INSTITUTE ENERGY SAVING TECH CO LTD'],"CN107031488A 
CN107031488B",1970,"B60L11/18 
B60P3/00 
B60L53/00","['B60L53/00 (CN) ', 'B60L53/54 (CN) ', 'B60P3/00 (CN) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/12 (EP) ', 'Y02T90/14 (EP)']","2017-08-11 
2019-07-16",2017-08-11,59532621,,2017-08-11,2019-07-16,CN107031488A,CN107031488B,CN,CN,2017,2016,,Company - Limited,B60L53/00 (CN),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
258,261,Distributed new energy charging pile and hydrogen refueling station,"LU YUZHENG 
LI JUNJIAO 
DONG YIWANG",['LU YUZHENG'],CN105576803A,1970,"C25B1/04 
H02J7/35","['C25B1/04 (CN) ', 'H02J7/35 (CN) ', 'Y02E10/56 (EP) ', 'Y02E10/76 (EP) ', 'Y02E60/36 (EP) ', 'Y02P20/133 (EP)']",2016-05-11,2016-05-11,55886618,,2016-05-11,,CN105576803A,,CN,,2016,2016,,Individual Inventor,C25B1/04 (CN),CN,2016.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
259,262,On-board recharging system for battery powered electric vehicles,"HSU MICHAEL S [US] 
MICHAEL HSU S [US]","['HSU MICHAEL S [US] ', 'HSU S MICHAEL [US]']","CN1075033A 
CN1076523C",1970,"B60L9/00 
H02J7/00 
B60L11/18 
H01M10/44 
H01M16/00 
H01M8/00 
H01M8/04 
H02J7/34 
B60L11/18 
H01M10/44 
H01M16/00 
H01M8/00 
H01M8/04 
H02J7/00 
H01M8/12","['B60L58/31 (EP,US) ', 'B60L58/33 (EP,US) ', 'B60L58/34 (EP,US) ', 'B60L58/40 (EP,US) ', 'H01M10/39 (EP,US) ', 'H01M10/44 (EP,US) ', 'H01M16/006 (EP,US) ', 'H01M8/00 (EP,US) ', 'H01M8/04007 (EP,US) ', 'H01M8/04067 (EP,US) ', 'H01M8/04074 (EP,US) ', 'H01M8/04365 (EP,US) ', 'H01M8/04731 (EP,US) ', 'H01M8/04768 (EP,US) ', 'H01M8/2425 (US) ', 'H01M8/2432 (EP) ', 'H01M8/244 (US) ', 'H01M8/2483 (EP,US) ', 'H01M2008/1293 (EP,US) ', 'H01M2250/20 (EP,US) ', 'H01M2300/0074 (EP,US) ', 'H01M8/04888 (EP,US) ', 'Y02E60/10 (EP) ', 'Y02E60/50 (EP,US) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP,US)']","1993-08-04 
2001-12-19",1993-05-13,25140781,,1993-08-04,2001-12-19,CN1075033A,CN1076523C,CN,CN,1993,1991,US,Individual Inventor,"B60L58/31 (EP,US)",CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
260,263,POWER SUPPLY SYSTEM FOR ELECTRIC VEHICLE OR DRONE DEVICE,ITO KOJU [JP],['AZUL ENERGY INC [JP]'],WO2023120657A1,1970,"B60L50/62 
B60L50/64 
B60L58/12 
B64C39/02 
H01M10/44 
H01M12/06 
H01M4/38 
H01M4/90 
H02J7/00","['B60L50/62 (EP) ', 'B60L50/64 (EP) ', 'B60L58/12 (EP) ', 'B64U50/30 (EP) ', 'H01M10/44 (EP) ', 'H01M12/06 (EP) ', 'H01M12/08 (EP) ', 'H01M4/38 (EP) ', 'H01M4/90 (EP) ', 'H02J7/342 (EP) ', 'H01M2220/20 (EP) ', 'H02J2310/44 (EP) ', 'H02J2310/48 (EP) ', 'Y02T10/70 (EP)']",2023-06-29,2023-06-29,86902744,,2023-06-29,,WO2023120657A1,,WO,,2023,2021,JP,Company - Incorporated/Corporation,B60L50/62 (EP),WO,2023.0,55,9000.0,9000.0,9000.0,15654.929577464789,15654.929577464789
261,264,MODULAR POWER STATION,"ROSSI LORENZO [CA] 
DINCER IBRAHIM [CA] 
WILLIAMSON SHELDON [CA] 
AGELIN-CHAA MARTIN [CA] 
QURESHY ALI [CA] 
RAZI FARAN [CA] 
ERDEMIR DOGAN [CA] 
KADAM ARVIND [CA]",['WORKSPORT LTD [US]'],WO2023150050A1,1970,"H01M8/24 
H01M8/249 
H02J4/00 
F17C1/00 
H02J7/34 
H02J9/04","['H01M10/44 (EP) ', 'H01M10/48 (EP) ', 'H01M16/006 (EP) ', 'H01M8/04029 (EP) ', 'H01M8/04059 (EP) ', 'H01M8/04201 (EP) ', 'H01M8/0444 (EP) ', 'H01M8/04447 (EP) ', 'H01M8/04701 (EP) ', 'H01M8/0494 (EP) ', 'H01M8/0606 (EP) ', 'H01M8/1007 (EP) ', 'H01M8/2457 (EP) ', 'H02J1/10 (EP) ', 'H02J15/008 (EP) ', 'H02J7/0013 (EP) ', 'H02J7/342 (EP) ', 'H01M2250/10 (EP) ', 'H01M2250/20 (EP) ', 'H01M2250/402 (EP) ', 'H02J2300/30 (EP) ', 'H02J2310/48 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP)']",2023-08-10,2023-08-10,87552767,,2023-08-10,,WO2023150050A1,,WO,,2023,2022,US,Company - Limited,H01M10/44 (EP),WO,2023.0,55,9000.0,9000.0,9000.0,15654.929577464789,15654.929577464789
262,265,Hybrid electric vehicle energy management method of equivalent minimum consumption strategy,"TAO FAZHAN 
FU ZHUMU 
ZOU PENGFEI 
SI PENGJU 
GAO AIYUN 
WANG HAOCONG 
SHI ZEHUA",['UNIV HENAN SCIENCE & TECH'],"CN111993957A 
CN111993957B",1970,"B60L50/40 
B60L50/75 
B60L58/40","['B60L50/40 (CN) ', 'B60L50/75 (CN) ', 'B60L58/40 (CN) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']","2020-11-27 
2021-09-14",2020-11-27,73462988,,2020-11-27,2021-09-14,CN111993957A,CN111993957B,CN,CN,2020,2020,,Technology Company,B60L50/40 (CN),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
263,266,"SERVER, CHARGING STAND GUIDING SYSTEM, CHARGING STAND GUIDING METHOD, AND PROGRAM",UCHIUMI TOSHIHIRO,['IDEMITSU KOSAN CO'],"JP2020021152A 
JP7126897B2",1970,"G06Q10/02 
G06Q50/10",['Y04S30/12 (EP)'],"2020-02-06 
2022-08-29",2020-02-06,69587515,,2020-02-06,2022-08-29,JP2020021152A,JP7126897B2,JP,JP,2020,2018,,Company - General,Y04S30/12 (EP),JP,,55,23000.0,23000.0,23000.0,15654.929577464789,15654.929577464789
264,267,Improved cyclic system for charging electric vehicle,SHUWEN LI,['SHUWEN LI'],CN101841178A,1970,H02J7/00,,2010-09-22,2010-09-22,42744380,,2010-09-22,,CN101841178A,,CN,,2010,2010,,Individual Inventor,,CN,2010.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
265,268,Hydrogen energy source moped scooter,"TAO ANPING 
YIN ZHENYA 
ZHOU CHANMING 
JIANG BING 
MIAO HONGXIA 
LI WEI",['YOUON TECH CO LTD'],CN109606141A,1970,"B60L50/70 
B60L53/00 
B60L58/30 
B60L58/33 
B62H5/00 
G08B21/24 
G08C17/02","['B62H5/00 (CN) ', 'G08B21/24 (CN) ', 'G08C17/02 (CN) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/14 (EP) ', 'Y02T90/40 (EP)']",2019-04-12,2019-04-12,66019288,,2019-04-12,,CN109606141A,,CN,,2019,2019,,Company - Limited,B62H5/00 (CN),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
266,269,Hybrid electric vehicle incorporating an integrated propulsion system,"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]",['OVONIC BATTERY CO [US]'],"US2003188901A1 
US6837321B2",1970,"B60K1/00 
B60K6/04 
B60K6/24 
B60K6/28 
B60K6/46 
B60K6/48 
B60L50/64 
F02G1/00 
H01M10/34 
H01M10/50 
H01M2/10 
H01M2/26 
H01M4/24 
H01M4/38 
H01M4/66 
H01M4/80 
H01M10/44 
H01M2/16 
H01M4/62","['B60K6/24 (EP,US) ', 'B60K6/28 (EP,US) ', 'B60K6/46 (EP,US) ', 'B60K6/48 (EP,US) ', 'B60L50/62 (EP,US) ', 'B60L50/64 (EP,US) ', 'F02G1/00 (EP,US) ', 'H01M10/345 (EP,US) ', 'H01M10/613 (EP,US) ', 'H01M10/615 (EP,US) ', 'H01M10/617 (EP,US) ', 'H01M10/625 (EP,US) ', 'H01M10/63 (EP,US) ', 'H01M10/635 (EP,US) ', 'H01M10/647 (EP,US) ', 'H01M10/651 (EP,US) ', 'H01M10/652 (EP,US) ', 'H01M10/654 (EP,US) ', 'H01M10/6554 (EP,US) ', 'H01M10/6555 (EP,US) ', 'H01M10/6557 (EP,US) ', 'H01M10/6563 (EP,US) ', 'H01M10/6567 (EP,US) ', 'H01M10/658 (EP,US) ', 'H01M4/24 (EP,US) ', 'H01M4/242 (EP,US) ', 'H01M4/383 (EP,US) ', 'H01M4/626 (EP,US) ', 'H01M4/661 (EP,US) ', 'H01M4/667 (EP,US) ', 'H01M4/80 (EP,US) ', 'H01M4/801 (EP,US) ', 'H01M4/803 (EP,US) ', 'H01M4/805 (EP,US) ', 'H01M50/249 (EP,US) ', 'H01M50/423 (EP,US) ', 'H01M50/536 (EP,US) ', 'B60K2001/005 (EP,US) ', 'H01M10/44 (EP,US) ', 'H01M10/653 (EP,US) ', 'H01M10/6566 (EP,US) ', 'H01M4/625 (EP,US) ', 'H01M4/808 (EP,US) ', 'H01M50/213 (EP,US) ', 'H01M50/224 (EP,US) ', 'H01M50/534 (EP,US) ', 'Y02E60/10 (EP,US) ', 'Y02T10/62 (EP,US) ', 'Y02T10/70 (EP,US) ', 'Y02T10/7072 (US) ', 'Y10S903/907 (EP,US)']","2003-10-09 
2005-01-04",1999-06-03,25526855,,2003-10-09,2005-01-04,US2003188901A1,US6837321B2,US,US,2003,1997,US,Company - General,"B60K6/24 (EP,US)",US,,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
267,270,Metal hydride heat storage and supply system of electric vehicle,"DONG KAIJUN 
SUN QIN 
LUO WEIMIN",['GUANGZHOU INST ENERGY CONVERSION CAS'],CN213576788U,1970,"B60H1/00 
F17C11/00 
F17C13/00 
F24V30/00 
H01M10/615 
H01M10/625 
H01M10/6556 
H01M10/6563",['Y02E60/10 (EP)'],2021-06-29,2021-06-29,76534066,,2021-06-29,,CN213576788U,,CN,,2021,2020,,Company - General,Y02E60/10 (EP),CN,2021.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
268,271,Electric automobile power supply free of external charging,"ZHANG HONGXIA 
XIN TINGHUI 
HAN FUJIANG 
LIU XIANGXIN","['AEROSPACE NEW LONG MARCH ELECTRIC VEHICLE TECHNOLOGY CO LTD ', 'BEIJING INST SPACE LAUNCH TECH']","CN104044483A 
CN104044483B",1970,B60L11/18,['Y02T10/70 (EP)'],"2014-09-17 
2016-08-17",2014-09-17,51498040,,2014-09-17,2016-08-17,CN104044483A,CN104044483B,CN,CN,2014,2014,,Company - Limited,Y02T10/70 (EP),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
269,272,External-mix self-reconfigurable supercapacitor battery circuit and quick charge control method,"HU GUOWEN 
YANG XIAODONG 
PENG SIMIN 
LI CHAO 
LU ZHIFENG 
LI XIANG",['YANCHENG INST TECHNOLOGY'],"CN105162225A 
CN105162225B",1970,"H02J7/02 
H02J7/34",,"2015-12-16 
2019-03-05",2015-12-16,54803016,,2015-12-16,2019-03-05,CN105162225A,CN105162225B,CN,CN,2015,2015,,Technology Company,,CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
270,273,Whole vehicle control device and control method for electric vehicle,"LI HUIQI 
OUYANG JIAN 
ZHOU YUANSHAN",['GUANGZHOU YIWE ELECTRIC VEHICLE CO LTD'],"CN104184191A 
CN104184191B",1970,"B60L15/00 
B60L15/20 
B60L3/00 
H02J7/00","['Y02T10/72 (EP) ', 'Y02T90/16 (EP)']","2014-12-03 
2016-11-02",2014-12-03,51965025,,2014-12-03,2016-11-02,CN104184191A,CN104184191B,CN,CN,2014,2014,,Company - Limited,Y02T10/72 (EP),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
271,274,Mobilizable electric automobile charging system,"ZHANG RUIFENG 
WANG HAIFAN 
WU JIN 
ZHANG RUIJIE",['DONGGUAN QINGXIN NEW ENERGY CO LTD'],CN206426869U,1970,"B60L11/18 
H02J7/00","['Y02T10/70 (EP) ', 'Y02T10/72 (EP)']",2017-08-22,2017-08-22,59590515,,2017-08-22,,CN206426869U,,CN,,2017,2017,,Company - Limited,Y02T10/70 (EP),CN,2017.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
272,275,Endurance system and method of electric vehicle,SHE PEILIANG,['JIANGSU EIMA VEHICLE INDUSTRY SCIENCE AND TECH LIMITED COMPANY'],CN114228514A,1970,"B60L50/60 
B60L53/00 
B60L58/12","['B60L50/60 (CN) ', 'B60L50/66 (CN) ', 'B60L53/00 (CN) ', 'B60L58/12 (CN) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/14 (EP)']",2022-03-25,2022-03-25,80756898,,2022-03-25,,CN114228514A,,CN,,2022,2021,,Company - Limited,B60L50/60 (CN),CN,2022.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
273,276,Multi-objective optimization hydrogen fuel cell hybrid electric vehicle energy management method,"FU ZHUMU 
WANG XIUJU 
TAO FAZHAN 
SONG SHUZHONG 
CHEN QIHONG 
GAO AIYUN 
JIAO LONGYIN 
ZHANG DONGKAI 
SI PENGJU",['UNIV HENAN SCIENCE & TECH'],CN115091972A,1970,"B60L50/40 
B60L50/75 
G06K9/62 
G06N3/08","['B60L50/40 (CN) ', 'B60L50/75 (CN) ', 'G06N3/08 (CN) ', 'Y02T10/84 (EP)']",2022-09-23,2022-09-23,83295617,,2022-09-23,,CN115091972A,,CN,,2022,2022,,Technology Company,B60L50/40 (CN),CN,2022.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
274,277,BOIL-OFF GAS TREATMENT SYSTEM AND METHOD FOR FUEL CELL ELECTRIC VEHICLE,KWON SOON HO [KR],"['HYUNDAI MOTOR CO LTD [KR] ', 'KIA CORP [KR]']",US2023023222A1,1970,"B60L58/30 
F17C5/00 
H01M8/04082 
H01M8/0438","['B60L50/72 (EP) ', 'B60L50/75 (EP) ', 'B60L58/12 (EP,KR) ', 'B60L58/30 (EP,KR,US) ', 'B60L58/33 (EP) ', 'B60L58/40 (KR) ', 'F17C5/007 (US) ', 'H01M8/04082 (EP,US) ', 'H01M8/04089 (KR) ', 'H01M8/04201 (KR) ', 'H01M8/04208 (KR) ', 'H01M8/043 (KR) ', 'H01M8/04373 (KR) ', 'H01M8/04425 (KR) ', 'H01M8/04432 (EP,US) ', 'H01M8/04723 (KR) ', 'H01M8/04753 (KR) ', 'H01M8/04768 (KR) ', 'H01M8/04947 (KR) ', 'B60Y2400/302 (KR) ', 'B60Y2400/306 (KR) ', 'F17C2221/012 (EP,US) ', 'F17C2250/043 (US) ', 'F17C2260/03 (EP,US) ', 'F17C2265/034 (EP) ', 'F17C2270/0168 (EP) ', 'F17C2270/0184 (EP,US) ', 'H01M2250/20 (EP,KR,US) ', 'H01M8/04029 (KR) ', 'Y02E60/50 (EP) ', 'Y02T10/70 (KR) ', 'Y02T10/7072 (KR) ', 'Y02T90/40 (EP)']",2023-01-26,2023-01-26,84976219,,2023-01-26,,US2023023222A1,,US,,2023,2021,KR,Company - Limited,B60L50/72 (EP),US,2023.0,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
275,278,"Power battery thermal management method, vehicle control unit, hydrogen energy vehicle and storage medium","SHAO YI 
HAO YIGUO",['HUANGGANG GROVE HYDROGEN AUTOMOTIVE CO LTD'],CN113386631A,1970,"B60L58/40 
B60R16/023 
H01M8/04029 
H01M8/04701 
H01M8/04992","['B60L58/40 (CN) ', 'B60R16/0232 (CN) ', 'H01M8/04029 (CN) ', 'H01M8/04723 (CN) ', 'H01M8/04992 (CN) ', 'Y02E60/50 (EP) ', 'Y02T10/70 (EP)']",2021-09-14,2021-09-14,77622947,,2021-09-14,,CN113386631A,,CN,,2021,2021,,Company - Limited,B60L58/40 (CN),CN,2021.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
276,279,Methanol-water hybrid electric vehicle,"GAO JIMING 
YANG YANZHANG",['GUANGDONG CREATE TECH CO LTD'],CN212046911U,1970,"B60L50/75 
B60L58/33 
B60L58/40 
H01M8/0612","['Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2020-12-01,2020-12-01,73540816,,2020-12-01,,CN212046911U,,CN,,2020,2020,,Company - Limited,Y02E60/50 (EP),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
