"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"261";"Distributed new energy charging pile and hydrogen refueling station";"LU YUZHENG 
LI JUNJIAO 
DONG YIWANG";"LU YUZHENG";"CN105576803A";"2016-02-17";"C25B1/04 
H02J7/35";"C25B1/04 (CN) 
H02J7/35 (CN) 
Y02E10/56 (EP) 
Y02E10/76 (EP) 
Y02E60/36 (EP) 
Y02P20/133 (EP)";"2016-05-11";"2016-05-11";"055886618";
"262";"On-board recharging system for battery powered electric vehicles";"HSU MICHAEL S [US] 
MICHAEL HSU S [US]";"HSU MICHAEL S [US] 
HSU S MICHAEL [US]";"CN1075033A 
CN1076523C";"1991-11-04";"B60L9/00 
H02J7/00 
B60L11/18 
H01M10/44 
H01M16/00 
H01M8/00 
H01M8/04 
H02J7/34 
B60L11/18 
H01M10/44 
H01M16/00 
H01M8/00 
H01M8/04 
H02J7/00 
H01M8/12";"B60L58/31 (EP,US) 
B60L58/33 (EP,US) 
B60L58/34 (EP,US) 
B60L58/40 (EP,US) 
H01M10/39 (EP,US) 
H01M10/44 (EP,US) 
H01M16/006 (EP,US) 
H01M8/00 (EP,US) 
H01M8/04007 (EP,US) 
H01M8/04067 (EP,US) 
H01M8/04074 (EP,US) 
H01M8/04365 (EP,US) 
H01M8/04731 (EP,US) 
H01M8/04768 (EP,US) 
H01M8/2425 (US) 
H01M8/2432 (EP) 
H01M8/244 (US) 
H01M8/2483 (EP,US) 
H01M2008/1293 (EP,US) 
H01M2250/20 (EP,US) 
H01M2300/0074 (EP,US) 
H01M8/04888 (EP,US) 
Y02E60/10 (EP) 
Y02E60/50 (EP,US) 
Y02T10/70 (EP) 
Y02T90/40 (EP,US)";"1993-08-04 
2001-12-19";"1993-05-13";"025140781";
"263";"POWER SUPPLY SYSTEM FOR ELECTRIC VEHICLE OR DRONE DEVICE";"ITO KOJU [JP]";"AZUL ENERGY INC [JP]";"WO2023120657A1";"2021-12-22";"B60L50/62 
B60L50/64 
B60L58/12 
B64C39/02 
H01M10/44 
H01M12/06 
H01M4/38 
H01M4/90 
H02J7/00";"B60L50/62 (EP) 
B60L50/64 (EP) 
B60L58/12 (EP) 
B64U50/30 (EP) 
H01M10/44 (EP) 
H01M12/06 (EP) 
H01M12/08 (EP) 
H01M4/38 (EP) 
H01M4/90 (EP) 
H02J7/342 (EP) 
H01M2220/20 (EP) 
H02J2310/44 (EP) 
H02J2310/48 (EP) 
Y02T10/70 (EP)";"2023-06-29";"2023-06-29";"086902744";
"264";"MODULAR POWER STATION";"ROSSI LORENZO [CA] 
DINCER IBRAHIM [CA] 
WILLIAMSON SHELDON [CA] 
AGELIN-CHAA MARTIN [CA] 
QURESHY ALI [CA] 
RAZI FARAN [CA] 
ERDEMIR DOGAN [CA] 
KADAM ARVIND [CA]";"WORKSPORT LTD [US]";"WO2023150050A1";"2022-02-04";"H01M8/24 
H01M8/249 
H02J4/00 
F17C1/00 
H02J7/34 
H02J9/04";"H01M10/44 (EP) 
H01M10/48 (EP) 
H01M16/006 (EP) 
H01M8/04029 (EP) 
H01M8/04059 (EP) 
H01M8/04201 (EP) 
H01M8/0444 (EP) 
H01M8/04447 (EP) 
H01M8/04701 (EP) 
H01M8/0494 (EP) 
H01M8/0606 (EP) 
H01M8/1007 (EP) 
H01M8/2457 (EP) 
H02J1/10 (EP) 
H02J15/008 (EP) 
H02J7/0013 (EP) 
H02J7/342 (EP) 
H01M2250/10 (EP) 
H01M2250/20 (EP) 
H01M2250/402 (EP) 
H02J2300/30 (EP) 
H02J2310/48 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2023-08-10";"2023-08-10";"087552767";
"265";"Hybrid electric vehicle energy management method of equivalent minimum consumption strategy";"TAO FAZHAN 
FU ZHUMU 
ZOU PENGFEI 
SI PENGJU 
GAO AIYUN 
WANG HAOCONG 
SHI ZEHUA";"UNIV HENAN SCIENCE & TECH";"CN111993957A 
CN111993957B";"2020-08-04";"B60L50/40 
B60L50/75 
B60L58/40";"B60L50/40 (CN) 
B60L50/75 (CN) 
B60L58/40 (CN) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-11-27 
2021-09-14";"2020-11-27";"073462988";
"266";"SERVER, CHARGING STAND GUIDING SYSTEM, CHARGING STAND GUIDING METHOD, AND PROGRAM";"UCHIUMI TOSHIHIRO";"IDEMITSU KOSAN CO";"JP2020021152A 
JP7126897B2";"2018-07-30";"G06Q10/02 
G06Q50/10";"Y04S30/12 (EP)";"2020-02-06 
2022-08-29";"2020-02-06";"069587515";
"267";"Improved cyclic system for charging electric vehicle";"SHUWEN LI";"SHUWEN LI";"CN101841178A";"2010-04-23";"H02J7/00";"";"2010-09-22";"2010-09-22";"042744380";
"268";"Hydrogen energy source moped scooter";"TAO ANPING 
YIN ZHENYA 
ZHOU CHANMING 
JIANG BING 
MIAO HONGXIA 
LI WEI";"YOUON TECH CO LTD";"CN109606141A";"2019-01-30";"B60L50/70 
B60L53/00 
B60L58/30 
B60L58/33 
B62H5/00 
G08B21/24 
G08C17/02";"B62H5/00 (CN) 
G08B21/24 (CN) 
G08C17/02 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2019-04-12";"2019-04-12";"066019288";
"269";"Hybrid electric vehicle incorporating an integrated propulsion system";"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]";"OVONIC BATTERY CO [US]";"US2003188901A1 
US6837321B2";"1997-01-31";"B60K1/00 
B60K6/04 
B60K6/24 
B60K6/28 
B60K6/46 
B60K6/48 
B60L50/64 
F02G1/00 
H01M10/34 
H01M10/50 
H01M2/10 
H01M2/26 
H01M4/24 
H01M4/38 
H01M4/66 
H01M4/80 
H01M10/44 
H01M2/16 
H01M4/62";"B60K6/24 (EP,US) 
B60K6/28 (EP,US) 
B60K6/46 (EP,US) 
B60K6/48 (EP,US) 
B60L50/62 (EP,US) 
B60L50/64 (EP,US) 
F02G1/00 (EP,US) 
H01M10/345 (EP,US) 
H01M10/613 (EP,US) 
H01M10/615 (EP,US) 
H01M10/617 (EP,US) 
H01M10/625 (EP,US) 
H01M10/63 (EP,US) 
H01M10/635 (EP,US) 
H01M10/647 (EP,US) 
H01M10/651 (EP,US) 
H01M10/652 (EP,US) 
H01M10/654 (EP,US) 
H01M10/6554 (EP,US) 
H01M10/6555 (EP,US) 
H01M10/6557 (EP,US) 
H01M10/6563 (EP,US) 
H01M10/6567 (EP,US) 
H01M10/658 (EP,US) 
H01M4/24 (EP,US) 
H01M4/242 (EP,US) 
H01M4/383 (EP,US) 
H01M4/626 (EP,US) 
H01M4/661 (EP,US) 
H01M4/667 (EP,US) 
H01M4/80 (EP,US) 
H01M4/801 (EP,US) 
H01M4/803 (EP,US) 
H01M4/805 (EP,US) 
H01M50/249 (EP,US) 
H01M50/423 (EP,US) 
H01M50/536 (EP,US) 
B60K2001/005 (EP,US) 
H01M10/44 (EP,US) 
H01M10/653 (EP,US) 
H01M10/6566 (EP,US) 
H01M4/625 (EP,US) 
H01M4/808 (EP,US) 
H01M50/213 (EP,US) 
H01M50/224 (EP,US) 
H01M50/534 (EP,US) 
Y02E60/10 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (US) 
Y10S903/907 (EP,US)";"2003-10-09 
2005-01-04";"1999-06-03";"025526855";
"270";"Metal hydride heat storage and supply system of electric vehicle";"DONG KAIJUN 
SUN QIN 
LUO WEIMIN";"GUANGZHOU INST ENERGY CONVERSION CAS";"CN213576788U";"2020-11-04";"B60H1/00 
F17C11/00 
F17C13/00 
F24V30/00 
H01M10/615 
H01M10/625 
H01M10/6556 
H01M10/6563";"Y02E60/10 (EP)";"2021-06-29";"2021-06-29";"076534066";
"271";"Electric automobile power supply free of external charging";"ZHANG HONGXIA 
XIN TINGHUI 
HAN FUJIANG 
LIU XIANGXIN";"AEROSPACE NEW LONG MARCH ELECTRIC VEHICLE TECHNOLOGY CO LTD 
BEIJING INST SPACE LAUNCH TECH";"CN104044483A 
CN104044483B";"2014-06-06";"B60L11/18";"Y02T10/70 (EP)";"2014-09-17 
2016-08-17";"2014-09-17";"051498040";
"272";"External-mix self-reconfigurable supercapacitor battery circuit and quick charge control method";"HU GUOWEN 
YANG XIAODONG 
PENG SIMIN 
LI CHAO 
LU ZHIFENG 
LI XIANG";"YANCHENG INST TECHNOLOGY";"CN105162225A 
CN105162225B";"2015-09-06";"H02J7/02 
H02J7/34";"";"2015-12-16 
2019-03-05";"2015-12-16";"054803016";
"273";"Whole vehicle control device and control method for electric vehicle";"LI HUIQI 
OUYANG JIAN 
ZHOU YUANSHAN";"GUANGZHOU YIWE ELECTRIC VEHICLE CO LTD";"CN104184191A 
CN104184191B";"2014-08-21";"B60L15/00 
B60L15/20 
B60L3/00 
H02J7/00";"Y02T10/72 (EP) 
Y02T90/16 (EP)";"2014-12-03 
2016-11-02";"2014-12-03";"051965025";
"274";"Mobilizable electric automobile charging system";"ZHANG RUIFENG 
WANG HAIFAN 
WU JIN 
ZHANG RUIJIE";"DONGGUAN QINGXIN NEW ENERGY CO LTD";"CN206426869U";"2017-01-19";"B60L11/18 
H02J7/00";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2017-08-22";"2017-08-22";"059590515";
"275";"Endurance system and method of electric vehicle";"SHE PEILIANG";"JIANGSU EIMA VEHICLE INDUSTRY SCIENCE AND TECH LIMITED COMPANY";"CN114228514A";"2021-12-16";"B60L50/60 
B60L53/00 
B60L58/12";"B60L50/60 (CN) 
B60L50/66 (CN) 
B60L53/00 (CN) 
B60L58/12 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2022-03-25";"2022-03-25";"080756898";
"276";"Multi-objective optimization hydrogen fuel cell hybrid electric vehicle energy management method";"FU ZHUMU 
WANG XIUJU 
TAO FAZHAN 
SONG SHUZHONG 
CHEN QIHONG 
GAO AIYUN 
JIAO LONGYIN 
ZHANG DONGKAI 
SI PENGJU";"UNIV HENAN SCIENCE & TECH";"CN115091972A";"2022-06-30";"B60L50/40 
B60L50/75 
G06K9/62 
G06N3/08";"B60L50/40 (CN) 
B60L50/75 (CN) 
G06N3/08 (CN) 
Y02T10/84 (EP)";"2022-09-23";"2022-09-23";"083295617";
"277";"BOIL-OFF GAS TREATMENT SYSTEM AND METHOD FOR FUEL CELL ELECTRIC VEHICLE";"KWON SOON HO [KR]";"HYUNDAI MOTOR CO LTD [KR] 
KIA CORP [KR]";"US2023023222A1";"2021-07-21";"B60L58/30 
F17C5/00 
H01M8/04082 
H01M8/0438";"B60L50/72 (EP) 
B60L50/75 (EP) 
B60L58/12 (EP,KR) 
B60L58/30 (EP,KR,US) 
B60L58/33 (EP) 
B60L58/40 (KR) 
F17C5/007 (US) 
H01M8/04082 (EP,US) 
H01M8/04089 (KR) 
H01M8/04201 (KR) 
H01M8/04208 (KR) 
H01M8/043 (KR) 
H01M8/04373 (KR) 
H01M8/04425 (KR) 
H01M8/04432 (EP,US) 
H01M8/04723 (KR) 
H01M8/04753 (KR) 
H01M8/04768 (KR) 
H01M8/04947 (KR) 
B60Y2400/302 (KR) 
B60Y2400/306 (KR) 
F17C2221/012 (EP,US) 
F17C2250/043 (US) 
F17C2260/03 (EP,US) 
F17C2265/034 (EP) 
F17C2270/0168 (EP) 
F17C2270/0184 (EP,US) 
H01M2250/20 (EP,KR,US) 
H01M8/04029 (KR) 
Y02E60/50 (EP) 
Y02T10/70 (KR) 
Y02T10/7072 (KR) 
Y02T90/40 (EP)";"2023-01-26";"2023-01-26";"084976219";
"278";"Power battery thermal management method, vehicle control unit, hydrogen energy vehicle and storage medium";"SHAO YI 
HAO YIGUO";"HUANGGANG GROVE HYDROGEN AUTOMOTIVE CO LTD";"CN113386631A";"2021-06-18";"B60L58/40 
B60R16/023 
H01M8/04029 
H01M8/04701 
H01M8/04992";"B60L58/40 (CN) 
B60R16/0232 (CN) 
H01M8/04029 (CN) 
H01M8/04723 (CN) 
H01M8/04992 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP)";"2021-09-14";"2021-09-14";"077622947";
"279";"Methanol-water hybrid electric vehicle";"GAO JIMING 
YANG YANZHANG";"GUANGDONG CREATE TECH CO LTD";"CN212046911U";"2020-03-26";"B60L50/75 
B60L58/33 
B60L58/40 
H01M8/0612";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-12-01";"2020-12-01";"073540816";
"280";"High power density regenerative fuelcell for peak power.";"BIANCHI GIUSEPPE [IT]";"SERE SRL [IT] 
DE NORA SPA [IT]";"EP0406831A1 
EP0406831B1";"1989-07-05";"H01M16/00 
H01M8/18 
H01M16/00 
H01M8/02 
H01M8/04 
H01M8/10 
H01M8/18";"B60L50/51 (EP,US) 
B60L50/64 (EP,US) 
B60L58/26 (EP,US) 
B60L58/33 (EP,US) 
B60L58/40 (EP,US) 
H01M16/003 (EP,US) 
H01M8/186 (EP,US) 
B60L2200/36 (EP,US) 
B60L2200/42 (EP,US) 
H01M2300/0082 (EP,US) 
Y02E60/50 (EP,US) 
Y02P90/60 (EP,US) 
Y02T10/70 (EP,US) 
Y02T90/40 (EP,US)";"1991-01-09 
1996-12-27";"1991-01-06";"011176682";
"281";"Electric automobile high power capacity ni -mh subassembly battery";"CHEN WENHONG 
CHEN WENMING 
CHEN DUANDIAN 
LI PEIKUN";"QUANZHOU JINTION ELECTRONICS CO LTD";"CN205864029U";"2016-07-20";"B60L11/18 
H01M10/42 
H02J7/04";"Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP) 
Y02T90/16 (EP)";"2017-01-04";"2017-01-04";"057647494";
"282";"Remove self -service charging device of storage battery car";"SHA DEFU";"CHEJIXIU CAR TECH CO LTD";"CN206640363U";"2017-04-18";"B60P3/00 
H02J7/00 
H02J7/35 
H02J9/04 
H02S40/36";"Y02B90/10 (EP) 
Y02E10/50 (EP)";"2017-11-14";"2017-11-14";"060245444";
"283";"SYSTEM AND METHOD FOR EXTENDING A RANGE OF AN ELECTRIC VEHICLE";"SINGHAL AKSHAY VIVEK [IN] 
SHARMA ANSHUL KUMAR [IN] 
JAIN ANUJ [IN] 
RAINA ANKUSH [IN] 
CHARAYA HEMANT [IN]";"LOG 9 MATERIALS SCIENT PRIVATE LIMITED [IN]";"US2022153139A1";"2018-12-15";"B60L1/00 
B60W30/18 
H01M10/42 
H01M10/48";"B60L1/003 (EP,KR) 
B60L1/02 (EP,KR) 
B60L1/20 (US) 
B60L58/13 (EP) 
B60L58/20 (EP) 
B60L58/26 (EP,KR) 
B60L58/27 (EP,KR) 
B60L7/10 (EP) 
B60W30/18127 (US) 
H01M10/4214 (EP,KR,US) 
H01M10/4242 (US) 
H01M10/482 (EP,KR,US) 
H01M10/484 (US) 
H01M10/625 (EP,KR) 
H01M10/6568 (EP,KR) 
H01M12/06 (EP,KR) 
H01M12/065 (KR) 
H01M16/00 (EP,KR) 
H01M4/625 (EP,KR) 
H01M50/77 (EP,KR) 
H02J7/0048 (EP,KR) 
H02J7/342 (EP,KR) 
B60Y2200/91 (KR) 
H01M12/065 (EP) 
H01M2220/20 (EP,KR) 
H02J2310/48 (EP,KR) 
Y02E60/10 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T90/40 (EP)";"2022-05-19";"2020-06-18";"071076838";
"284";"Electric car with solar charging function";"ZHANG YIJUN";"ANHUI LUJIYA VEHICLE INDUSTRY SCIENCE & TECHNOLOGY CO LTD";"CN204452069U";"2014-12-23";"B60L8/00 
H02J7/00";"Y02T10/7072 (EP) 
Y02T10/72 (EP)";"2015-07-08";"2015-07-08";"053659000";
"285";"Electric vehicle driving system and electric vehicle";"ROLAND GONBO";"AIWAYS AUTO CO LTD";"CN208827571U";"2018-09-27";"B60K1/02 
B60K1/04 
B60L50/60 
B60L50/70";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-05-07";"2019-05-07";"066317018";
"286";"HYBRID POWER SUPPLY SYSTEM FOR EXTENDING DRIVING DISTANCE OF ELECTRIC VEHICLE";"KIM HYUNG MAN [KR] 
CHOI KAP SEUNG [KR] 
LEE BONG HWAN [KR]";"UNIV INJE IND ACAD COOPERATION [KR]";"KR101290712B1 
KR20130010265A";"2011-07-18";"B60L11/18";"B60L50/72 (KR) 
B60L58/30 (KR) 
H01M8/04298 (KR) 
B60Y2200/91 (KR) 
B60Y2400/202 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (EP) 
Y02T10/70 (EP)";"2013-01-28 
2013-07-29";"2013-01-28";"047839546";
"287";"Nonaqueous electrolyte battery, battery pack, electronic device, and electric vehicle";"ODANI TORU 
KUBOTA TADAHIKO";"SONY CORP";"CN102820483A 
CN102820483B";"2011-06-07";"H01M10/05 
H01M10/0525 
H01M10/0567 
H01M10/0568 
H01M50/417 
H01M50/434 
H01M50/451";"H01M10/05 (CN) 
H01M10/052 (EP,US) 
H01M10/0525 (CN) 
H01M10/0567 (EP,CN,US) 
H01M10/0568 (EP,CN,US) 
H01M4/134 (EP,CN,US) 
H01M50/417 (EP,CN,US) 
H01M50/434 (EP,CN,US) 
H01M50/451 (EP,CN,US) 
H01M2220/20 (CN) 
Y02E60/10 (EP,US) 
Y02P70/50 (EP) 
Y02T10/70 (US)";"2012-12-12 
2017-06-09";"2012-12-12";"047293839";
"288";"Charging circulating system of electric car";"SHUWEN LI";"SHUWEN LI";"CN101837741A";"2010-04-23";"B60L11/00 
B60L11/18";"Y02T10/70 (EP)";"2010-09-22";"2010-09-22";"042741492";
"289";"HYDROGEN GAS DISPENSING SYSTEMS AND METHODS";"O'BRIEN CHRISTOPHER JOHN [US] 
POLLICA DARRYL EDWARD [US] 
RAO PRABHU K [US]";"IVYS INC [US]";"US11196062B2 
US2019363382A1";"2017-01-17";"C01B3/04 
C01B3/50 
F17C13/02 
F17C5/00 
F17C5/06 
F17C7/00 
H01M8/04082 
H01M8/04089 
H01M8/04664 
H01M8/0432 
H01M8/0438 
H01M8/0444 
H01M8/0656";"C01B3/042 (US) 
C01B3/50 (EP,KR,US) 
F17C13/025 (EP,KR,US) 
F17C13/026 (EP,US) 
F17C5/007 (EP,KR,US) 
F17C5/06 (EP,KR,US) 
F17C7/00 (KR,US) 
H01M8/04089 (EP,KR,US) 
H01M8/04201 (EP,KR,US) 
H01M8/04373 (KR) 
H01M8/04425 (KR) 
H01M8/0444 (KR) 
H01M8/04686 (EP,KR,US) 
H01M8/0656 (KR) 
C01B2203/0465 (EP,US) 
C01B2203/0495 (EP,US) 
F17C2205/0111 (EP,US) 
F17C2205/0176 (EP,KR,US) 
F17C2221/012 (EP,KR,US) 
F17C2223/0123 (EP,KR,US) 
F17C2223/033 (EP,KR,US) 
F17C2225/0123 (EP,KR,US) 
F17C2225/036 (EP,KR,US) 
F17C2227/0157 (EP,KR,US) 
F17C2227/0164 (EP,US) 
F17C2227/043 (EP,KR,US) 
F17C2250/01 (EP,US) 
F17C2250/032 (EP,KR,US) 
F17C2250/043 (EP,KR,US) 
F17C2250/0439 (EP,US) 
F17C2250/0452 (EP,KR,US) 
F17C2250/0626 (EP,KR,US) 
F17C2265/065 (EP,KR,US) 
F17C2270/0139 (EP,KR,US) 
F17C2270/0184 (EP,KR,US) 
F17C2270/0763 (KR,US) 
H01M2250/20 (EP,KR,US) 
H01M2250/40 (KR,US) 
H01M8/04373 (EP,US) 
H01M8/04425 (EP,US) 
H01M8/0444 (EP,US) 
H01M8/0656 (EP,US) 
Y02E60/32 (EP) 
Y02E60/36 (EP,KR) 
Y02E60/50 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP,KR) 
Y02T90/12 (EP,KR) 
Y02T90/40 (EP,KR,US)";"2019-11-28 
2021-12-07";"2018-07-19";"062841541";
"290";"fire prevention and extinguishing apparatus for electric vehicle";"CHUNG DAE WON [KR]";"CHUNG DAE WON [KR]";"KR102507576B1";"2022-09-16";"A62C3/07 
A62C3/16 
A62C35/68 
A62C37/38 
H01M10/42 
H01M10/48 
H01M10/613 
H01M10/625 
H01M10/6568 
H01M50/627 
H01M50/673";"Y02E60/10 (EP)";"2023-03-10";"2023-03-10";"085570487";
"291";"FUTURISTIC ELECTRIC VEHICLE";"SONNO KAZUO";"TARUNO KAZUO";"JP2011105307A";"2011-01-05";"B60Q1/24 
B60Q1/52 
B60Q3/74 
B60R1/00 
F21S10/06";"";"2011-06-02";"2011-06-02";"044229281";
"292";"Power supply trailer";"WEI WEI";"WEI WEI";"CN109927571A";"2019-03-28";"B60L53/18 
B60L53/30 
B62D63/06";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2019-06-25";"2019-06-25";"066988697";
"293";"CHARGING DEVICE FOR ELECTRIC VEHICLE AND CONTROL METHOD THEREOF";"MIURA TETSUYA 
YOKOTA JUNICHI";"TOYOTA MOTOR CORP 
AISIN AW CO";"JP2009065808A";"2007-09-10";"B60L11/18 
B60L9/18 
H01M10/44 
H02J7/00 
H02J7/10 
H02P6/24";"Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"2009-03-26";"2009-03-26";"040559871";
"294";"Miniature EV Battery Charger and Range Extender";"BAILEY KENNETH STEPHEN [US]";"BAILEY KENNETH STEPHEN [US]";"US2023331108A1";"2022-05-08";"B60L53/54 
B60L53/57 
H02J7/00";"B60L50/71 (EP) 
B60L50/75 (EP) 
B60L53/54 (US) 
B60L53/57 (US) 
H02J7/0042 (EP,US) 
B60S5/02 (US) 
H02J15/008 (EP,US)";"2023-10-19";"2023-10-19";"088308920";
"295";"Hydrogen-electric hybrid vehicle construction";"KEJHA JOSEPH B [US]";"ELECTRION INC [US]";"US7036616B1";"1995-01-17";"B60K6/52 
B60K7/00";"B60K6/442 (EP,US) 
B60K6/52 (EP,US) 
B60K7/0007 (EP,US) 
B60L50/16 (EP,US) 
B60L50/61 (EP,US) 
B60L50/62 (EP,US) 
B60L50/66 (EP,US) 
B62D23/005 (EP,US) 
B62D29/008 (EP,US) 
B62D31/003 (EP,US) 
B60K1/02 (EP,US) 
B60K17/043 (EP,US) 
B60K2007/0046 (EP,US) 
B60K2007/0092 (EP,US) 
B60L2220/46 (EP,US) 
B60L2260/28 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y10S903/908 (EP,US)";"2006-05-02";"2006-05-02";"034988438";
"296";"Technology for monitoring power battery by utilizing big data";"YANG TAO 
HE RUOXU 
XIE CHANGHUAI 
WEI ZHEN 
ZHU HONGSHENG";"ZHEJIANG WANMA NEW ENERGY CO LTD";"CN110518300A";"2019-08-18";"H01M10/42 
H01M10/48 
H04L29/08";"H01M10/425 (CN) 
H01M10/4285 (CN) 
H01M10/482 (CN) 
H04L67/12 (CN) 
H04L67/52 (CN) 
H01M2010/4271 (CN) 
Y02E60/10 (EP)";"2019-11-29";"2019-11-29";"068627144";
"297";"Emergency charging equipment for electric car";"YU MIN 
SUN LIXIN 
ZHANG CHUNXIA 
DING CHENYANG 
GUO YANYU";"UNIV SHAANXI SCIENCE & TECH";"CN110667413A";"2019-09-29";"B60L53/00 
B60L53/14";"B60L53/00 (CN) 
B60L53/14 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2020-01-10";"2020-01-10";"069080068";
"298";"Electric vehicle charging system using drone";"HONG SEONG HO 
CHOI HO JIN";"HOGREENAIR CO LTD [KR]";"KR20240080237A";"2022-11-29";"B60L50/70 
B60L53/10 
B60L53/54 
B60L53/57 
B64C39/02 
B64D41/00 
B64U10/14 
B64U50/32 
B64U101/10";"B60L50/70 (KR) 
B60L53/10 (KR) 
B60L53/54 (KR) 
B60L53/57 (KR) 
B60L53/60 (KR) 
B64C39/024 (KR) 
B64U10/14 (KR) 
B64U50/32 (KR) 
B60L2200/10 (KR) 
B64D2041/005 (KR) 
B64U2101/10 (KR) 
Y02T90/12 (KR)";"2024-06-07";"2024-06-07";"091480160";
"299";"FUEL CELL POWER GENERATION SYSTEM AND CONTROL METHOD THEREOF";"KIM TAE WOO [KR]";"HYUNDAI MOTOR CO LTD [KR] 
KIA CORP [KR]";"US2023063049A1";"2021-09-02";"H01M16/00 
H01M8/04858 
H02J7/00";"H01M10/44 (EP) 
H01M16/006 (EP,US) 
H01M8/0488 (EP,US) 
H01M8/0491 (EP,US) 
H01M8/04947 (EP,US) 
H02J4/00 (EP) 
H02J7/0048 (US) 
H02J7/0068 (US) 
H02J7/007 (US) 
H02J7/34 (EP) 
H01M2220/20 (EP,US) 
H01M2250/20 (EP,US) 
H02J2207/20 (US) 
H02J2300/30 (EP,US) 
H02J2310/48 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP)";"2023-03-02";"2023-03-02";"085286502";
"300";"VEHICLE, DELIVERY SYSTEM, SERVER, AND PROGRAM FOR DELIVERY SYSTEM";"IKEGAYA KOJI [JP] 
ITO MASAHIRO [JP]";"YAZAKI CORP [JP]";"US2023019029A1";"2021-07-13";"B60L53/54 
B60L53/66 
B60L53/68 
G06Q10/06 
G06Q10/08";"B60K15/03006 (CN) 
B60L53/00 (CN) 
B60L53/10 (CN) 
B60L53/30 (CN) 
B60L53/54 (EP,CN,US) 
B60L53/665 (EP,US) 
B60L53/68 (EP,US) 
B60P3/00 (CN) 
F17C5/00 (EP) 
G06Q10/02 (CN) 
G06Q10/0631 (EP,US) 
G06Q10/08 (EP,US) 
G06Q10/0832 (CN) 
H01M8/04201 (CN) 
H01M8/22 (CN) 
F17C2201/056 (EP) 
F17C2201/058 (EP) 
F17C2221/012 (EP,US) 
F17C2223/0161 (EP) 
F17C2223/033 (EP) 
F17C2250/032 (EP) 
F17C2250/034 (EP) 
F17C2265/066 (EP) 
F17C2270/0139 (EP,US) 
F17C2270/0171 (EP) 
F17C7/02 (US) 
Y02T10/70 (EP)";"2023-01-19";"2023-01-17";"084546900";
"301";"Electric car metro area charge management system";"XIANG HUA";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD";"CN105539184A";"2015-12-23";"B60L11/18 
H01M8/0612 
H02J7/00";"B60L53/54 (CN) 
B60L58/21 (CN) 
H01M8/0618 (CN) 
H02J7/0027 (CN) 
B60L2240/72 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2016-05-04";"2016-05-04";"055818902";
