No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
283,TEMPERATURE CONTROL METHOD FOR NICKEL-HYDROGEN BATTERY,"SATO NOBORU 
NAKATANI KATSUNORI",HONDA MOTOR CO LTD,JPH0773907A,1993-09-03,"['H01M10/50', 'H01M10/50']",['unkown)'],1995-03-17,1995-03-17,17108947,1995-03-17,,JPH0773907A,,JP,,1995,1993,,['JP'],['JPH0773907A']
284,Power-on and power-off control system and method suitable for hydrogen fuel cell hybrid electric vehicle,"YANG JIA 
SONG SHIXIN 
PENG SILUN 
ZHANG RUIQIANG 
ZHANG GUOQING 
ZHAO XINHUA 
YANG SHUAI",UNIV JILIN,CN117565756A,2023-11-21,"['B60L58/26', 'B60L58/31', 'B60L58/40']","['B60L58/26 (CN)', 'B60L58/31 (CN)', 'B60L58/40 (CN)']",2024-02-20,2024-02-20,89891337,2024-02-20,,CN117565756A,,CN,,2024,2023,,['CN'],['CN117565756A']
285,Charging method of power battery during hydrogen energy automobile key in OFF gear state,"JIN DONGXU 
HAO YIGUO",WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD,CN111993956A,2020-05-25,"['B60L3/00', 'B60L58/40', 'H02J7/00']","['B60L3/00 (CN)', 'B60L58/40 (CN)', 'H02J7/0029 (CN)', 'H02J7/0047 (CN)', 'Y02T10/70 (EP)', 'Y02T90/16 (EP)']",2020-11-27,2020-11-27,73466362,2020-11-27,,CN111993956A,,CN,,2020,2020,,['CN'],['CN111993956A']
286,Hydrogen energy moped control system,"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI",YOUON TECH CO LTD,CN209505977U,2019-01-30,"['B60L58/30', 'B60L58/33', 'B60L58/40', 'B62H5/00', 'B62M6/45']","['Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2019-10-18,2019-10-18,68203323,2019-10-18,,CN209505977U,,CN,,2019,2019,,['CN'],['CN209505977U']
287,Control method and system for hydrogen fuel cell in hybrid electric vehicle,"ZHANG JIAMOU 
ZHAO YUMING 
WANG FUJUN 
LU GUIBING",HANTENG AUTOMOBILE CO LTD,CN109795374A,2019-01-25,['B60L58/30'],['Y02T90/40 (EP)'],2019-05-24,2019-05-24,66558995,2019-05-24,,CN109795374A,,CN,,2019,2019,,['CN'],['CN109795374A']
288,Emergency rescue fuel cell power supply charging vehicle and control method thereof,"QUAN JIN 
YE MAIKE 
QUAN HUAN 
XIONG YING 
HU XIONGHUI 
LU QINGWEN 
QUAN SHUHAI","WUHAN HYVITECH CO LTD 
HAIYI XINNENG HUBEI TECH CO LTD",CN114834287A,2022-05-20,"['B60L53/00', 'B60L53/14', 'B60L53/20', 'B60L53/53', 'B60L53/54', 'B60L53/57', 'B60L58/10', 'B60L58/12', 'B60L58/30', 'B60L58/31', 'B60L58/40', 'B60P3/00', 'H02J7/00']","['B60L53/00 (CN)', 'B60L53/14 (CN)', 'B60L53/20 (CN)', 'B60L53/53 (CN)', 'B60L53/54 (CN)', 'B60L53/57 (CN)', 'B60L58/10 (CN)', 'B60L58/12 (CN)', 'B60L58/30 (CN)', 'B60L58/31 (CN)', 'B60L58/40 (CN)', 'B60P3/00 (CN)', 'H02J7/0048 (CN)', 'H02J7/342 (CN)', 'B60L2200/00 (CN)', 'B60L2210/14 (CN)', 'B60L2210/40 (CN)', 'B60L2240/12 (CN)', 'B60L2240/54 (CN)', 'B60L2260/20 (CN)', 'B60L2260/44 (CN)', 'Y02T90/40 (EP)']",2022-08-02,2022-08-02,82571287,2022-08-02,,CN114834287A,,CN,,2022,2022,,['CN'],['CN114834287A']
289,Fuel cell energy management system of hydrogen energy automobile,"CHENG FEI 
HAO YIGUO",WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD,"CN110605977A 
CN110605977B",2019-09-04,"['B60L50/40', 'B60L50/70', 'B60L50/75', 'B60L58/30', 'B60W30/188']","['B60L50/40 (CN)', 'B60L50/70 (CN)', 'B60L50/75 (CN)', 'B60L58/30 (CN)', 'B60W30/188 (CN)', 'Y02T10/70 (EP)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP)']","2019-12-24 
2021-04-23",2019-12-24,68892195,2019-12-24,2021-04-23,CN110605977A,"
CN110605977B",CN,"
",2019,2019,,['CN'],"['CN110605977A', 'CN110605977B']"
290,Automotive nickel-metal hydride battery charging device,CHONGYUAN HUANG,SHANGHAI KEWEI LOW PRESSURE ELECTRICAL APPLIANCE FACTORY,CN102420439A,2010-09-27,['H02J7/00'],['unkown)'],2012-04-18,2012-04-18,45944722,2012-04-18,,CN102420439A,,CN,,2012,2010,,['CN'],['CN102420439A']
291,A Hydrogen Fuel Cell System for A Refrigerator of a Vehicle,HAN WOO SEUK,HORIZON FUEL CELL KOREA CO LTD [KR],"KR102734070B1 
KR20230144737A",2022-04-08,"['H01M16/00', 'H01M8/0432', 'H01M8/04858', 'H02J7/00']","['H01M16/006 (KR)', 'H01M8/0432 (KR)', 'H01M8/0494 (KR)', 'H02J7/00 (KR)', 'B60H2001/3292 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP)']","2023-10-17 
2024-11-25",2023-10-17,88557733,2023-10-17,2024-11-25,KR102734070B1,"
KR20230144737A",KR,"
",2023,2022,KR,['KR'],"['KR102734070B1', 'KR20230144737A']"
292,Electric automobile high power capacity ni -mh subassembly battery,"CHEN WENHONG 
CHEN WENMING 
CHEN DUANDIAN 
LI PEIKUN",QUANZHOU JINTION ELECTRONICS CO LTD,CN205864029U,2016-07-20,"['B60L11/18', 'H01M10/42', 'H02J7/04']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/16 (EP)']",2017-01-04,2017-01-04,57647494,2017-01-04,,CN205864029U,,CN,,2017,2016,,['CN'],['CN205864029U']
293,Electric vehicle charging and discharging facility fire alarm system based on monitor,"OU HIROSHI 
ZHAO XIAORONG 
ZHAO XIAOYU 
LI TAISHENG 
LIN JUPENG 
HOU LIQUN 
ZHANG YAQI 
WEN KAI",CHINA RAILWAY CONSTR GROUP CO,CN114333209A,2021-11-17,"['G08B17/06', 'G08B17/10', 'G08B21/00', 'G08B21/16']",['unkown)'],2022-04-12,2022-04-12,81046235,2022-04-12,,CN114333209A,,CN,,2022,2021,,['CN'],['CN114333209A']
294,Electric vehicle charge control method and system,DONG WAN,WUHU MOTIONTEC AUTOMOTIVE CO LTD,CN102761144A,2011-04-27,['H02J7/00'],['unkown)'],2012-10-31,2012-10-31,47055500,2012-10-31,,CN102761144A,,CN,,2012,2011,,['CN'],['CN102761144A']
295,Energy management method and device for hydrogen fuel cell electric vehicle and storage medium,"ZHOU JIANHAO 
HAI BIN 
SAI YINGHUI 
SONG TINGLUN 
ZHOU ZHIGUANG 
WANG LEI 
FANG SHI",CHERY AUTOMOBILE CO LTD,"CN112078565A 
CN112078565B",2020-09-17,"['B60W10/26', 'B60W10/28', 'B60W20/10', 'B60W40/00', 'B60W40/105']","['B60W10/26 (CN)', 'B60W10/28 (CN)', 'B60W20/10 (CN)', 'B60W40/00 (CN)', 'B60W40/105 (CN)', 'Y02T90/40 (EP)']","2020-12-15 
2021-07-30",2020-12-15,73737302,2020-12-15,2021-07-30,CN112078565A,"
CN112078565B",CN,"
",2020,2020,,['CN'],"['CN112078565A', 'CN112078565B']"
296,Day-ahead scheduling method and system for electricity hydrogen production and charging station based on shared hydrogen energy storage,"TIAN XUEQIN 
YANG HENG 
YUAN TIEJIANG 
GE YANGYANG 
YANG FUYUAN","UNIV DALIAN TECH 
STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD 
ELECTRIC POWER RES INSTITUTE OF STATE GRID LIAONING ELECTRIC POWER SUPPLY CO LTD 
STATE GRID CORP CHINA",CN118211793A,2024-03-26,"['G06F17/18', 'G06Q10/04', 'G06Q10/0631', 'G06Q30/0201', 'G06Q50/06']","['G06F17/18 (CN)', 'G06Q10/04 (CN)', 'G06Q10/06312 (CN)', 'G06Q10/06315 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)']",2024-06-18,2024-06-18,91445822,2024-06-18,,CN118211793A,,CN,,2024,2024,,['CN'],['CN118211793A']
297,Hydrogen fuel cell wide-body vehicle,"TANG KAILIN 
MO SIJIAN 
ZHOU CHANGQI 
YANG MING 
OUYANG HUIYU 
LI GUANGHENG 
LUO YUN 
ZHOU YUAN",LIUMAN CHANZHOU MINING MACHINERY LTD COMPANY,CN216331451U,2021-06-24,"['B60L50/70', 'B60L7/10']",['Y02T90/40 (EP)'],2022-04-19,2022-04-19,81159445,2022-04-19,,CN216331451U,,CN,,2022,2021,,['CN'],['CN216331451U']
298,Miniature EV Battery Charger and Range Extender,BAILEY KENNETH STEPHEN [US],BAILEY KENNETH STEPHEN [US],US2023331108A1,2022-05-08,"['B60L53/54', 'B60L53/57', 'H02J7/00']","['B60L50/71 (EP)', 'B60L50/75 (EP)', 'B60L53/54 (US)', 'B60L53/57 (US)', 'H02J7/0042 (EP,US)', 'B60S5/02 (US)', 'H02J15/008 (EP,US)']",2023-10-19,2023-10-19,88308920,2023-10-19,,US2023331108A1,,US,,2023,2022,US,['US'],['US2023331108A1']
299,Electric scooter with on-board charging system,"HUGHES PETER S [US] 
BALDWIN JAMES DANIEL [US]",VECTRIX CORP [US],US6326765B1,2000-10-04,"['H01M10/46', 'B60L11/18', 'B60L50/15', 'B62J11/00', 'B62J9/00', 'B62J99/00', 'B62M23/02', 'B62M7/00', 'H01M10/46', 'H01M8/00', 'H02J7/00']","['B60L15/007 (EP,US)', 'B60L50/50 (KR)', 'B60L50/53 (EP,US)', 'B60L50/64 (EP,US)', 'B60L50/66 (EP,US)', 'B60L53/11 (EP,US)', 'B60L53/14 (EP,US)', 'B60L58/33 (EP,US)', 'B60L58/40 (EP,US)', 'B62M7/12 (EP,US)', 'B60L2200/12 (EP,US)', 'B62K2202/00 (EP,US)', 'B62K2204/00 (EP,US)', 'H01M2250/00 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'H01M2250/407 (EP,US)', 'Y02B90/10 (EP,US)', 'Y02E60/50 (EP,US)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (US)', 'Y02T90/14 (EP,US)', 'Y02T90/40 (EP,US)']",2001-12-04,2001-12-04,24726791,2001-12-04,,US6326765B1,,US,,2001,2000,US,"['AU', 'CA', 'CN', 'EP', 'JP', 'KR', 'MX', 'TW', 'US', 'WO']","['AU9311601A', 'CA2424743A1', 'CN100384657C', 'CN1469821A', 'EP1326761A2', 'EP2301790A2', 'EP2301790A3', 'JP2004510626A', 'KR20030097787A', 'MXPA03002885A', 'TW531909B', 'US6326765B1', 'WO0229956A2', 'WO0229956A3']"
300,Charging and battery replacing energy system and charging and battery replacing method,"YU HAO 
JIANG WEI",GAC AION NEW ENERGY AUTOMOBILE CO LTD,CN115566713A,2022-10-31,"['H02J3/28', 'H02J3/32', 'H02J3/46']","['H02J3/28 (CN)', 'H02J3/322 (CN)', 'H02J3/466 (CN)', 'H02J2203/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2023-01-03,2023-01-03,84768633,2023-01-03,,CN115566713A,,CN,,2023,2022,,['CN'],['CN115566713A']
301,"Hydrogen fuel cell electric vehicle power assembly cooling system, test method and evaluation method","CHEN ZHENGDONG 
YU XIANG 
WANG WENKUI 
ZHAO WENTIAN 
LI BAOQUAN 
LI HONGBO 
LI SONGLIN",CHINA FAW GROUP CORP,"CN114824357A 
CN114824357B",2022-03-31,"['H01M8/04007', 'H01M8/04029', 'H01M8/04992']","['H01M8/04007 (CN)', 'H01M8/04029 (CN)', 'H01M8/04074 (CN)', 'H01M8/04992 (CN)']","2022-07-29 
2024-05-07",2022-07-29,82532979,2022-07-29,2024-05-07,CN114824357A,"
CN114824357B",CN,"
",2022,2022,,['CN'],"['CN114824357A', 'CN114824357B']"
302,FUSION-COMBINATION CHARGING SYSTEMS AND CONTROL METHOD THEREOF,YOO JAEYOO,LG ELECTRONICS INC [KR],KR20210103041A,2020-02-12,"['B60L53/60', 'B60L58/30', 'H01M8/04089', 'H01M8/04828']","['B60L3/0046 (KR)', 'B60L53/60 (KR)', 'B60L55/00 (KR)', 'B60L58/12 (KR)', 'B60L58/30 (KR)', 'B60L58/40 (KR)', 'H01M8/04089 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'B60L2240/54 (KR)', 'B60Y2200/90 (KR)', 'H01M2250/20 (KR)', 'H02J2207/40 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP,KR)']",2021-08-23,2021-08-23,77499513,2021-08-23,,KR20210103041A,,KR,,2021,2020,KR,['KR'],['KR20210103041A']
303,HYBRID AUTONOMOUS DRIVING VEHICLE BASED ON FUEL CELL,"KONG BYEOUNG JIN [KR] 
LEE GUN 
PARK YONG HYUN 
PARK YEONG JIN 
NOH DONGSUN",KONG BYEOUNG JIN [KR],"KR102630225B1 
KR20230118749A",2022-02-04,"['B60L15/20', 'B60L53/31', 'B60L58/34', 'B60L58/40', 'B60W10/08', 'B60W10/26', 'B60W10/28', 'B60W20/13', 'B60W30/182', 'B60W50/14', 'B60W60/00']","['B60L15/20 (KR)', 'B60L53/31 (KR)', 'B60L58/34 (KR)', 'B60L58/40 (KR)', 'B60W10/08 (KR)', 'B60W10/26 (KR)', 'B60W10/28 (KR)', 'B60W20/13 (KR)', 'B60W30/182 (KR)', 'B60W50/14 (KR)', 'B60W60/0016 (KR)', 'H01M8/04201 (KR)', 'B60L2240/42 (KR)', 'B60L2250/16 (KR)', 'B60L2260/26 (KR)', 'B60L2260/52 (KR)', 'B60W2050/146 (KR)', 'B60W2510/244 (KR)', 'B60W2556/45 (KR)', 'B60Y2200/92 (KR)', 'B60Y2400/302 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (KR)', 'Y02T10/70 (KR)', 'Y02T10/7072 (KR)', 'Y02T90/40 (KR)']","2023-08-14 
2024-01-30",2023-08-14,87565748,2023-08-14,2024-01-30,KR102630225B1,"
KR20230118749A",KR,"
",2023,2022,KR,['KR'],"['KR102630225B1', 'KR20230118749A']"
304,Emergency power supply system based on coupling of electric vehicle storage array and hydrogen fuel cell,"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING","CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD",CN212649181U,2020-06-24,"['A62B13/00', 'B60P3/00', 'F24D15/00', 'F24F11/64', 'F24F11/72', 'F24F11/80', 'H02J9/06', 'H02J9/08', 'F24F110/10', 'F24F110/20', 'F24F110/65', 'F24F110/70', 'F24F110/76']",['unkown)'],2021-03-02,2021-03-02,74772504,2021-03-02,,CN212649181U,,CN,,2021,2020,,['CN'],['CN212649181U']
305,Vehicle-mounted nickel-hydrogen battery pack real SOC online determination method,"PENG ZHEN 
ZHONG FAPING 
XU GUOCHANG 
JIANG WANG 
HE XIA 
CAO CHANGYUN 
KE WEI 
WANG MIAO",HUNAN COPOWER EV BATTERY CO LTD,"CN108828455A 
CN108828455B",2018-07-11,"['G01R31/36', 'B60L58/12', 'G01R31/367', 'G01R31/3842']",['Y02T10/70 (EP)'],"2018-11-16 
2020-10-13",2018-11-16,64136934,2018-11-16,2020-10-13,CN108828455A,"
CN108828455B",CN,"
",2018,2018,,['CN'],"['CN108828455A', 'CN108828455B']"
306,Base type chassis of hydrogen fuel cell unmanned vehicle,"LIU WEIHANG 
LU YUREN 
XU PEIPEI 
LI JIE 
LIU BIN 
ZHONG BIQING 
ZENG RIYA 
YANG GUANGQINGYUE 
JIN CONG 
YU HAI 
YUAN YINGSHUAI 
MENG BEIXIAO 
FANG GUOCHANG 
QIN YAZHOU 
ZHANG YUE",CHINA NORTH VEHICLE RES INST,CN118991465A,2024-08-05,"['B60K11/00', 'B60K11/04', 'B60K11/06', 'B60K7/00', 'B60L1/00', 'B60L50/75', 'B60L7/10', 'B62D11/02', 'B62D21/18', 'B62D5/04']","['B60K11/00 (CN)', 'B60K11/04 (CN)', 'B60K11/06 (CN)', 'B60K7/0007 (CN)', 'B60L1/00 (CN)', 'B60L50/75 (CN)', 'B60L7/10 (CN)', 'B62D11/02 (CN)', 'B62D21/18 (CN)', 'B62D5/04 (CN)', 'Y02T90/40 (EP)']",2024-11-22,2024-11-22,93470160,2024-11-22,,CN118991465A,,CN,,2024,2024,,['CN'],['CN118991465A']
307,Container type methanol-to-hydrogen energy station system,"RONG ZIHAI 
LIU JIANG 
TANG DAWEI 
SHEN DI",ZHEJIANG BENYUAN CHUNQING TECH CO LTD,CN114865002A,2022-05-17,"['H01M8/04082', 'H01M8/04089', 'H01M8/1011']","['H01M8/04089 (CN)', 'H01M8/04201 (CN)', 'H01M8/1011 (CN)', 'Y02T90/12 (EP)']",2022-08-05,2022-08-05,82639869,2022-08-05,,CN114865002A,,CN,,2022,2022,,['CN'],['CN114865002A']
308,On-board recharging system for battery powered electric vehicles,"HSU MICHAEL S [US] 
MICHAEL HSU S [US]","HSU MICHAEL S [US] 
HSU S MICHAEL [US]","CN1075033A 
CN1076523C",1991-11-04,"['B60L9/00', 'H02J7/00', 'B60L11/18', 'H01M10/44', 'H01M16/00', 'H01M8/00', 'H01M8/04', 'H02J7/34', 'B60L11/18', 'H01M10/44', 'H01M16/00', 'H01M8/00', 'H01M8/04', 'H02J7/00', 'H01M8/12']","['B60L58/31 (EP,US)', 'B60L58/33 (EP,US)', 'B60L58/34 (EP,US)', 'B60L58/40 (EP,US)', 'H01M10/39 (EP,US)', 'H01M10/44 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/00 (EP,US)', 'H01M8/04007 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04074 (EP,US)', 'H01M8/04365 (EP,US)', 'H01M8/04731 (EP,US)', 'H01M8/04768 (EP,US)', 'H01M8/2425 (US)', 'H01M8/2432 (EP)', 'H01M8/244 (US)', 'H01M8/2483 (EP,US)', 'H01M2008/1293 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2300/0074 (EP,US)', 'H01M8/04888 (EP,US)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP,US)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP,US)']","1993-08-04 
2001-12-19",1993-05-13,25140781,1993-08-04,2001-12-19,CN1075033A,"
CN1076523C",CN,"
",1993,1991,US,"['AT', 'AU', 'CN', 'DE', 'DK', 'EP', 'ES', 'GR', 'JP', 'TW', 'US', 'WO']","['ATE157483T1', 'ATE181177T1', 'AU3061392A', 'CN1075033A', 'CN1076523C', 'DE69221888D1', 'DE69221888T2', 'DE69221888T3', 'DE69229413D1', 'DE69229413T2', 'DK0611486T3', 'DK0752731T3', 'EP0611486A1', 'EP0611486B1', 'EP0611486B2', 'EP0752731A1', 'EP0752731B1', 'ES2107554T3', 'ES2135840T3', 'GR3025477T3', 'JPH07504063A', 'TW269667B', 'US5332630A', 'WO9309572A2', 'WO9309572A3']"
309,SYSTÈME DE TRANSPORT DE VÉHICULE ÉLECTRIQUE,ARIAN ASSL JAMSHID [BE],ARIAN ASSL JAMSHID [BE],WO2009156780A1,2008-06-25,"['B60L11/18', 'H02J7/04']","['B60L53/11 (EP)', 'B60L53/35 (EP)', 'B60L58/10 (EP)', 'H02J7/007 (EP)', 'H02J7/04 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2009-12-30,2009-12-30,40822969,2009-12-30,,WO2009156780A1,,WO,,2009,2008,BE,['WO'],['WO2009156780A1']
310,Hydrogen fuel-cell vehicle braking energy recovery system,"CHENG FEI 
HAO YIGUO 
CHEN HUAMING",WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD,CN110576750A,2019-08-22,"['B60L15/20', 'B60L50/75', 'B60L58/40', 'B60L7/10', 'B60W30/18']","['B60L15/2009 (CN)', 'B60L50/75 (CN)', 'B60L58/40 (CN)', 'B60L7/10 (CN)', 'B60W30/18127 (CN)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/40 (EP)']",2019-12-17,2019-12-17,68811701,2019-12-17,,CN110576750A,,CN,,2019,2019,,['CN'],['CN110576750A']
311,Liquid hydrogen storage type high-pressure hydrogenation vehicle,"NI ZHONGHUA 
CHEN JIANAN 
WEI WEI 
YAN YAN 
HE CHUNHUI 
WANG CHAO 
ZHAO YALI",ZHANGJIAGANG RES INSTITUTE OF HYDROGEN ENERGY CO LTD,CN210107039U,2019-05-24,"['F17C13/00', 'F17C13/02', 'F17C13/04', 'F17C5/06', 'F17C7/04']",['unkown)'],2020-02-21,2020-02-21,69561479,2020-02-21,,CN210107039U,,CN,,2020,2019,,['CN'],['CN210107039U']
312,CHARGING DEVICE FOR ELECTRIC VEHICLE AND CONTROL METHOD THEREOF,"MIURA TETSUYA 
YOKOTA JUNICHI","TOYOTA MOTOR CORP 
AISIN AW CO",JP2009065808A,2007-09-10,"['B60L11/18', 'B60L9/18', 'H01M10/44', 'H02J7/00', 'H02J7/10', 'H02P6/24']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2009-03-26,2009-03-26,40559871,2009-03-26,,JP2009065808A,,JP,,2009,2007,,['JP'],['JP2009065808A']
313,Active discharge circuit and system of hydrogen energy automobile,"CHENG FEI 
HAO YIGUO",HUANGGANGGOV HYDROGEN ENERGY AUTOMOBILE LTD COMPANY,CN216033901U,2021-06-07,['B60L58/30'],['Y02T90/40 (EP)'],2022-03-15,2022-03-15,80614793,2022-03-15,,CN216033901U,,CN,,2022,2021,,['CN'],['CN216033901U']
314,Long range hydrogen fueled vehicle construction,KEJHA JOSEPH B [US],KEJHA JOSEPH B [US],US2005211480A1,1995-01-17,"['B60K6/04', 'B60K6/52', 'B60K7/00']","['B60K6/442 (EP,US)', 'B60K6/52 (EP,US)', 'B60K7/0007 (EP,US)', 'B60L50/16 (EP,US)', 'B60L50/61 (EP,US)', 'B60L50/62 (EP,US)', 'B60L50/66 (EP,US)', 'B62D23/005 (EP,US)', 'B62D29/008 (EP,US)', 'B62D31/003 (EP,US)', 'B60K1/02 (EP,US)', 'B60K17/043 (EP,US)', 'B60K2007/0046 (EP,US)', 'B60K2007/0092 (EP,US)', 'B60L2220/46 (EP,US)', 'B60L2260/28 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)']",2005-09-29,2005-09-29,46303809,2005-09-29,,US2005211480A1,,US,,2005,1995,,['US'],"['US2005211480A1', 'US2006032683A1', 'US2006070790A1', 'US2008238140A1', 'US7036616B1']"
315,New energy vehicle chassis combination structure and combination method thereof,ZHANG YAO,ZHANG YAO,CN111002845A,2019-12-28,"['B60L50/70', 'B60L50/71', 'B60L58/10', 'B60L58/33']","['B60L50/70 (CN)', 'B60L50/71 (CN)', 'B60L58/10 (CN)', 'B60L58/33 (CN)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2020-04-14,2020-04-14,70119321,2020-04-14,,CN111002845A,,CN,,2020,2019,,['CN'],['CN111002845A']
316,Mobile fuel cell charging device,SUN HANDONG,SHENYANG DERBON INSTR CO LTD,CN104022545A,2014-05-19,['H02J7/00'],['unkown)'],2014-09-03,2014-09-03,51439169,2014-09-03,,CN104022545A,,CN,,2014,2014,,['CN'],['CN104022545A']
317,High-voltage system for fuel cell dual-source electric vehicle,"SONG WEI 
XUE YUNHONG 
NING FANKUN",SINO TRUK JINAN POWER CO LTD,CN107444161A,2017-08-14,"['B60L11/18', 'B60L3/04']","['B60L3/04 (CN)', 'B60L58/10 (CN)', 'B60L58/40 (CN)', 'B60L2210/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2017-12-08,2017-12-08,60491072,2017-12-08,,CN107444161A,,CN,,2017,2017,,['CN'],['CN107444161A']
318,A fuel cell mobile charging device,SUN HANDONG,SHENYANG DERBON INSTR CO LTD,CN203911529U,2014-05-19,['H02J7/00'],['unkown)'],2014-10-29,2014-10-29,51785775,2014-10-29,,CN203911529U,,CN,,2014,2014,,['CN'],['CN203911529U']
319,Intelligent energy management method of hydrogen fuel cell hybrid electric vehicle involving degradation,"TAO FAZHAN 
ZHANG YABO 
LU HONGXIN 
FU ZHIGAO 
TANG XIAOLIN 
CHEN BO 
JI BAOFENG 
WANG TONG 
WU HONGHAI 
LI SHUAIYONG 
ZHU LONGLONG 
GAO SONG 
LI MENGYANG 
ZHANG ZHONGCAI 
ZHANG JI 
ZHANG PING 
SUN LIFAN","LONGMEN LABORATORY 
UNIV HENAN SCIENCE & TECH",CN116834612A,2023-07-10,"['B60L50/40', 'B60L50/75', 'B60L58/40', 'B60W50/00']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'B60L58/40 (CN)', 'B60W50/00 (CN)', 'B60L2210/10 (CN)', 'B60W2050/0019 (CN)', 'B60W2050/0031 (CN)', 'B60W2050/0039 (CN)']",2023-10-03,2023-10-03,88170398,2023-10-03,,CN116834612A,,CN,,2023,2023,,['CN'],['CN116834612A']
320,Intelligent fuel locating and monitoring system for hydrogen vehicle,"ZHAO CHENGWANG 
CHENG XIAOCUI 
FANG XIAOMING 
WANG LIANGLIANG 
BAO XIANJUN",WUHU GUOQING WNERGY CO LTD,"CN104442735A 
CN104442735B",2014-10-31,['B60S5/00'],['B60S5/00 (CN)'],"2015-03-25 
2016-05-25",2015-03-25,52889719,2015-03-25,2016-05-25,CN104442735A,"
CN104442735B",CN,"
",2015,2014,,['CN'],"['CN104442735A', 'CN104442735B']"
321,Electric vehicle overall control device,"LI HUIQI 
OUYANG JIAN 
ZHOU YUANSHAN",GUANGZHOU YIWE ELECTRIC VEHICLE CO LTD,CN204089254U,2014-08-21,"['B60L15/00', 'B60L15/20', 'B60L3/00', 'H02J7/00']","['Y02T10/72 (EP)', 'Y02T90/16 (EP)']",2015-01-07,2015-01-07,52181925,2015-01-07,,CN204089254U,,CN,,2015,2014,,['CN'],['CN204089254U']
